	syll	cons	approx	son	cont	delrel	lateral	nasal	voice	dor	lab	cor	strid	ant	retro	high	low	back	stress
p	-	+	-	-	-	-	-	-	-	0	+	0	0	0	0	0	0	+	0
pj	-	+	-	-	-	-	-	-	-	0	+	0	0	0	0	0	0	-	0
b	-	+	-	-	-	-	-	-	+	0	+	0	0	0	0	0	0	+	0
bj	-	+	-	-	-	-	-	-	+	0	+	0	0	0	0	0	0	-	0
m	-	+	-	+	-	0	-	+	+	0	+	0	0	0	0	0	0	+	0
mj	-	+	-	+	-	0	-	+	+	0	+	0	0	0	0	0	0	-	0
f	-	+	-	-	+	+	-	-	-	0	+	0	0	0	0	0	0	+	0
fj	-	+	-	-	+	+	-	-	-	0	+	0	0	0	0	0	0	-	0
v	-	-	+	+	+	0	-	-	+	0	+	0	0	0	0	0	0	+	0
vj	-	-	+	+	+	0	-	-	+	0	+	0	0	0	0	0	0	-	0
k	-	+	-	-	-	-	-	-	-	+	0	0	0	0	0	+	-	+	0
kj	-	+	-	-	-	-	-	-	-	+	0	0	0	0	0	+	-	-	0
g	-	+	-	-	-	-	-	-	+	+	0	0	0	0	0	+	-	+	0
gj	-	+	-	-	-	-	-	-	+	+	0	0	0	0	0	+	-	-	0
x	-	+	-	-	+	+	-	-	-	+	0	0	0	0	0	+	-	+	0
xj	-	+	-	-	+	+	-	-	-	+	0	0	0	0	0	+	-	-	0
t	-	+	-	-	-	-	-	-	-	0	0	+	-	+	-	0	0	+	0
tj	-	+	-	-	-	-	-	-	-	0	0	+	-	+	-	0	0	-	0
d	-	+	-	-	-	-	-	-	+	0	0	+	-	+	-	0	0	+	0
dj	-	+	-	-	-	-	-	-	+	0	0	+	-	+	-	0	0	-	0
ts	-	+	-	-	-	+	-	-	-	0	0	+	+	+	-	0	0	+	0
s	-	+	-	-	+	+	-	-	-	0	0	+	+	+	-	0	0	+	0
sj	-	+	-	-	+	+	-	-	-	0	0	+	+	+	-	0	0	-	0
z	-	+	-	-	+	+	-	-	+	0	0	+	+	+	-	0	0	+	0
zj	-	+	-	-	+	+	-	-	+	0	0	+	+	+	-	0	0	-	0
sh	-	+	-	-	+	+	-	-	-	0	0	+	+	-	+	0	0	+	0
zh	-	+	-	-	+	+	-	-	+	0	0	+	+	-	+	0	0	+	0
chj	-	+	-	-	-	+	-	-	-	0	0	+	+	-	-	0	0	-	0
shshj	-	+	-	-	+	+	-	-	-	0	0	+	+	-	-	0	0	-	0
n	-	+	-	+	-	0	-	+	+	0	0	+	-	+	-	0	0	+	0
nj	-	+	-	+	-	0	-	+	+	0	0	+	-	+	-	0	0	-	0
r	-	+	+	+	+	0	-	-	+	0	0	+	-	+	-	0	0	+	0
rj	-	+	+	+	+	0	-	-	+	0	0	+	-	+	-	0	0	-	0
l	-	+	+	+	+	0	+	-	+	0	0	+	-	+	-	0	0	+	0
lj	-	+	+	+	+	0	+	-	+	0	0	+	-	+	-	0	0	-	0
j	-	-	+	+	+	0	0	-	+	0	0	+	-	-	-	+	-	-	0
i	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	+	-	-	-
e	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	-	-	-
a	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	+	+	-
o	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	-	+	-
u	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	+	-	+	-
I	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	+	-	-	+
E	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	-	-	+
A	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	+	+	+
O	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	-	-	+	+
U	+	-	+	+	+	0	0	-	+	0	0	0	0	0	0	+	-	+	+
