eɪ	A
eɪ b ɔ m	A-bomb
eɪ b ɔ m z	A-bombs
eɪ l ɛ v ə l	A-level
eɪ l ɛ v ə l z	A-levels
eɪ d ə b ə l j u oʊ ɛ l	A.W.O.L.
eɪ s i	A/C
eɪ eɪ	AA
eɪ eɪ z	AAs
eɪ b i s i	ABC
eɪ b i s i z	ABC's
eɪ b i s i z	ABCs
eɪ d i	AD
eɪ d i s i	ADC
eɪ ɛ m	AM
æ b ə ɹ ɪ d˗ ʒ ɪ n ɪ	Aborigine
æ b ə ɹ ɪ d˗ ʒ ɪ n ɪ z	Aborigines
ə k ɪ l i z	Achilles
ə k ɹ ɔ p ə l ɪ s	Acropolis
æ k t s	Acts
æ d ə m	Adam
ə d ɹ ɛ s oʊ g ɹ ɑ f	Addressograph
ə d ɹ ɛ s oʊ g ɹ ɑ f s	Addressographs
æ d v ə n t	Advent
æ d v ə n t ɪ s t	Adventist
æ d v ə n t ɪ s t s	Adventists
æ f g æ n	Afghan
æ f g ɑ n ɪ	Afghani
æ f g ɑ n ɪ z	Afghanis
æ f g æ n ɪ s t æ n	Afghanistan
æ f g æ n ɪ s t æ n ɪ	Afghanistani
æ f g æ n ɪ s t æ n ɪ z	Afghanistanis
æ f g æ n z	Afghans
æ f ɹ ɪ k ə	Africa
æ f ɹ ɪ k ə n	African
æ f ɹ ɪ k ə n z	Africans
æ f ɹ ɪ k ɑ n s	Afrikaans
æ f ɹ ɪ k ɑ n ə	Afrikaner
æ f ɹ ɪ k ɑ n ə z	Afrikaners
æ f ɹ oʊ	Afro
æ f ɹ oʊ ə m ɛ ɹ ɪ k ə n	Afro-American
æ f ɹ oʊ ə m ɛ ɹ ɪ k ə n z	Afro-Americans
æ f ɹ oʊ eɪ ʃ ə n	Afro-Asian
æ f ɹ oʊ w ɪ g	Afro-wig
æ f ɹ oʊ w ɪ g z	Afro-wigs
æ f ɹ oʊ z	Afros
ɛ ə d eɪ l	Airedale
ɛ ə d eɪ l z	Airedales
æ l	Al
æ l b eɪ n j ə	Albania
æ l b eɪ n j ə n	Albanian
æ l b eɪ n j ə n z	Albanians
æ l d˗ ʒ ɪ ə ɹ ɪ ə	Algeria
æ l d˗ ʒ ɪ ə ɹ ɪ ə n	Algerian
æ l d˗ ʒ ɪ ə ɹ ɪ ə n z	Algerians
æ l ɪ s	Alice
æ l ə	Allah
ɔ l m aɪ t ɪ	Almighty
æ l s æ s	Alsace
æ l s eɪ ʃ ə n	Alsatian
æ l s eɪ ʃ ə n z	Alsatians
æ m ɛ ɹ ɪ k ə n ɪ ŋ g l ɪ ʃ	AmE
ə m ɛ ɹ ɪ k ə n	American
ə m ɛ ɹ ɪ k ə n ɪ z ə m	Americanism
ə m ɛ ɹ ɪ k ə n ɪ z ə m z	Americanisms
ə m ɛ ɹ ɪ k ə n z	Americans
æ m ə ɹ ɪ n d j ə n	Amerindian
æ m ə ɹ ɪ n d j ə n z	Amerindians
æ m h ɑ ɹ ə	Amhara
æ m h æ ɹ ɪ k	Amharic
