A	ə
A(1)	'ej
A'S	'ej z
A.	'ej
A.'S	'ej z
A.S	'ej z
A42128	'ej f 'ɔ ɹ t 'uw w 'ʌ n t 'uw 'ej t
AAA	t ɹ ˌɪ p ə l 'ej
AABERG	'ɑ b ə ɹ g
AACHEN	'ɑ k ə n
AACHENER	'ɑ k ə n ə ɹ
AAKER	'ɑ k ə ɹ
AALSETH	'ɑ l s ɛ θ
AAMODT	'ɑ m ə t
AANCOR	'ɑ n k ˌɔ ɹ
AARDEMA	ɑ ɹ d 'ɛ m ə
AARDVARK	'ɑ ɹ d v ˌɑ ɹ k
AARON	'ɛ ɹ ə n
AARON'S	'ɛ ɹ ə n z
AARONS	'ɛ ɹ ə n z
AARONSON	'ɛ ɹ ə n s ə n
AARONSON(1)	'ɑ ɹ ə n s ə n
AARONSON'S	'ɛ ɹ ə n s ə n z
AARONSON'S(1)	'ɑ ɹ ə n s ə n z
AARTI	'ɑ ɹ t ˌij
AASE	'ɑ s
AASEN	'ɑ s ə n
AB	'æ b
AB(1)	'ej b 'ij
ABABA	ə b 'ɑ b ə
ABABA(1)	'ɑ b ə b ə
ABACHA	'æ b ə k ə
ABACK	ə b 'æ k
ABACO	'æ b ə k ˌow
ABACUS	'æ b ə k ə s
ABAD	ə b 'ɑ d
ABADAKA	ə b 'æ d ə k ə
ABADI	ə b 'æ d ij
ABADIE	ə b 'æ d ij
ABAIR	ə b 'ɛ ɹ
ABALKIN	ə b 'ɑ l k ɪ n
ABALONE	ˌæ b ə l 'ow n ij
ABALOS	ɑ b 'ɑ l ow z
ABANDON	ə b 'æ n d ə n
ABANDONED	ə b 'æ n d ə n d
ABANDONING	ə b 'æ n d ə n ɪ ŋ
ABANDONMENT	ə b 'æ n d ə n m ə n t
ABANDONMENTS	ə b 'æ n d ə n m ə n t s
ABANDONS	ə b 'æ n d ə n z
ABANTO	ə b 'æ n t ow
ABARCA	ə b 'ɑ ɹ k ə
ABARE	ɑ b 'ɑ ɹ ij
ABASCAL	'æ b ə s k ə l
ABASH	ə b 'æ ʃ
ABASHED	ə b 'æ ʃ t
ABASIA	ə b 'ej ʒ j ə
ABATE	ə b 'ej t
ABATED	ə b 'ej t ɪ d
ABATEMENT	ə b 'ej t m ə n t
ABATEMENTS	ə b 'ej t m ə n t s
ABATES	ə b 'ej t s
ABATING	ə b 'ej t ɪ ŋ
ABBA	'æ b ə
ABBADO	ə b 'ɑ d ow
ABBAS	ə b 'ɑ s
ABBASI	ɑ b 'ɑ s ij
ABBATE	'ɑ b ej t
ABBATIELLO	ɑ b ɑ t ij 'ɛ l ow
ABBE	'æ b ij
ABBE(1)	æ b 'ej
ABBENHAUS	'æ b ə n h ˌaw s
ABBETT	ə b 'ɛ t
ABBEVILLE	'æ b v ɪ l
ABBEY	'æ b ij
ABBEY'S	'æ b ij z
ABBIE	'æ b ij
ABBITT	'æ b ɪ t
ABBOT	'æ b ə t
ABBOTSTOWN	'æ b ə t s t 'aw n
ABBOTT	'æ b ə t
ABBOTT'S	'æ b ə t s
ABBOTTSTOWN	'æ b ə t s t 'aw n
ABBOUD	ə b 'uw d
ABBOUD(1)	ə b 'aw d
ABBREVIATE	ə b ɹ 'ij v ij ˌej t
ABBREVIATED	ə b ɹ 'ij v ij ˌej t ə d
ABBREVIATED(1)	ə b ɹ 'ij v ij ˌej t ɪ d
ABBREVIATES	ə b ɹ 'ij v ij ˌej t s
ABBREVIATING	ə b ɹ 'ij v ij ˌej t ɪ ŋ
ABBREVIATION	ə b ɹ ˌij v ij 'ej ʃ ə n
ABBREVIATIONS	ə b ɹ ˌij v ij 'ej ʃ ə n z
ABBRUZZESE	ɑ b ɹ uw t s 'ej z ij
ABBS	'æ b z
ABBY	'æ b ij
ABCO	'æ b k ow
ABCOTEK	'æ b k ow t ˌɛ k
ABDALLA	ˌæ b d 'æ l ə
ABDALLAH	ˌæ b d 'æ l ə
ABDEL	'æ b d ˌɛ l
ABDELLA	ˌæ b d 'ɛ l ə
ABDICATE	'æ b d ə k ˌej t
ABDICATED	'æ b d ə k ˌej t ə d
ABDICATES	'æ b d ə k ˌej t s
ABDICATING	'æ b d ɪ k ˌej t ɪ ŋ
ABDICATION	ˌæ b d ɪ k 'ej ʃ ə n
ABDNOR	'æ b d n ə ɹ
ABDO	'æ b d ow
ABDOLLAH	ˌæ b d 'ɑ l ə
ABDOMEN	æ b d 'ow m ə n
ABDOMEN(1)	'æ b d ə m ə n
ABDOMINAL	æ b d 'ɑ m ə n ə l
ABDOMINAL(1)	ə b d 'ɑ m ə n ə l
ABDUCT	æ b d 'ʌ k t
ABDUCTED	æ b d 'ʌ k t ɪ d
ABDUCTED(1)	ə b d 'ʌ k t ɪ d
ABDUCTEE	æ b d ˌʌ k t 'ij
ABDUCTEES	æ b d ˌʌ k t 'ij z
ABDUCTING	æ b d 'ʌ k t ɪ ŋ
ABDUCTING(1)	ə b d 'ʌ k t ɪ ŋ
ABDUCTION	æ b d 'ʌ k ʃ ə n
ABDUCTION(1)	ə b d 'ʌ k ʃ ə n
ABDUCTIONS	æ b d 'ʌ k ʃ ə n z
ABDUCTIONS(1)	ə b d 'ʌ k ʃ ə n z
ABDUCTOR	æ b d 'ʌ k t ə ɹ
ABDUCTOR(1)	ə b d 'ʌ k t ə ɹ
ABDUCTORS	æ b d 'ʌ k t ə ɹ z
ABDUCTORS(1)	ə b d 'ʌ k t ə ɹ z
ABDUCTS	æ b d 'ʌ k t s
ABDUL	æ b d 'uw l
ABDULAZIZ	æ b d ˌuw l ə z 'ij z
ABDULLA	ɑ b d 'uw l ə
ABDULLAH	ˌæ b d 'ʌ l ə
ABE	'ej b
ABED	ə b 'ɛ d
ABEDI	ə b 'ɛ d ij
ABEE	ə b 'ij
ABEL	'ej b ə l
ABELA	ɑ b 'ɛ l ə
ABELARD	'æ b ɪ l ə ɹ d
ABELE	ə b 'ɛ l
ABELES	ə b 'ɛ l z
ABELES(1)	'ej b ə l ˌij z
ABELL	'ej b ə l
ABELLA	ə b 'ɛ l ə
ABELN	'æ b ɪ l n
ABELOW	'æ b ə l ow
ABELS	'ej b ə l z
ABELSON	'æ b ɪ l s ə n
ABEND	'æ b ɛ n d
ABEND(1)	ə b 'ɛ n d
ABENDROTH	'æ b ɪ n d ɹ ɔ θ
ABER	'ej b ə ɹ
ABERCROMBIE	ˌæ b ə ɹ k ɹ 'ɑ m b ij
ABERDEEN	'æ b ə ɹ d ˌij n
ABERFORD	'ej b ə ɹ f ə ɹ d
ABERG	'æ b ə ɹ g
ABERLE	'æ b ə ɹ ə l
ABERLE(1)	'æ b ə ɹ l
ABERMIN	'æ b ə ɹ m ɪ n
ABERNATHY	'æ b ə ɹ n ˌæ θ ij
