english word,fijian word,pronouce,comments,AudioFile,AudioFileName
"mountain","ulunivanua",,,0,
"fire","buka",,,0,
"flower","senikau",,,0,
"snake","gata",,,0,
"Eatible Greens","bele",,"Island gabbage",0,
"Eatible root","dalo",,"similar to taro",0,
"drum","lali",,"large wooden drum",0,
"able","rawa",,,0,
"aboard","I waqa",,,0,
"above","I cake, I dela",,,0,
"accept","ciqoma",,,0,
"accident","vakacalaka","vakathalakaa",,0,
"ache","mosi",,,0,
"across (go across)","takoso-va","taakoso-va",,0,
"across (the road/river)","I tai",,,0,
"addict","dau-, manamana-",,,0,
"administration","veiliutaki",,,0,
"admire","qoroya",,,0,
"admission","icurucuru",,,0,
"admit","vakadinata",,,0,
"advantage","kena vinaka",,,0,
"advice","vakasala",,,0,
"afraid","rere",,,0,
"afraid of","rerevaka",,,0,
"afternoon","yakavi",,"(from about three)",0,
"against (lean against)","ravi-ta",,,0,
"against (be against)","saqata",,,0,
"age","yabaki",,,0,
"agriculture","teitei",,,0,
"ahead","I liu",,,0,
"aid","veivuke",,,0,
"air","cagi",,,0,
"i- meaning","bale bale",,,0,
"2nd person trial","dou",,,0,
"2nd person plural","muni",,"or singular polite",0,
"Walk, stroll,","gade",,"go for pleasure",0,
"Thigh","ogavae",,,0,
"Needle","eula",,,0,
"inside","loma",,,0,
"land","qele, vanua",,,0,
"to, towards","ki",,,0,
"wind (n.)","cagi",,,0,
"Leaf","drau",,,0,
"Orange","moli",,,0,
"whether","se",,,0,
"always","dau, tu ga","tuu gaa","always laughing - dau dredre, dredre tu ga",0,
"amazing","veivakadrukai",,,0,
"ambassador","mata",,,0,
"among (things)","I maliwa ni","I maaliwa ni",,0,
"among (persons)","maliwai",,,0,
"ancient","makawa",,,0,
"and","kei, qai",,,0,
"animal","manumanu",,,0,
"another","dua tale",,"another (different) - duatani",0,
"answer (v)","sauma",,,0,
"answer (n)","isau",,,0,
"ant","qasikalolo","nqasikaalooloo",,0,
"antiseptic","wainimate",,"ni mavoa",0,
"any (a quantity of)","na",,,0,
"any (at random)","dua ga","ndua ngaa",,0,
"apple","yapolo",,,0,
"appointment","veibuka",,,0,
"apporximately","vakacaca","vakathaathaa",,0,
"argue","veiba, veileti",,,0,
"arid","dravuisiga",,,0,
"arm","liga",,,0,
"arrive","yaco",,,0,
"ascend","cabe-ta",,,0,
"ashamed","madua","maanduaa",,0,
"ask for","kere-a",,,0,
"aspirin","aspirini",,,0,
"at","I, mai",,,0,
"aunt","tina-lailai",,"mother's younger sister",0,
"aunt","tina-levu",,"mother's older sister",0,
"aunt","nei",,"father's sister",0,
"autumn","vulaimatumatua",,,0,
"avocado","pea",,,0,
"away","tani",,,0,
"baby","peipei, gonedramidrami",,,0,
"babysitter","meimei",,,0,
"bachelor","dawai",,,0,
"bachelor (eligible)","cauravou",,,0,
"back (n)","daku",,,0,
"back (be back, come back)","lesu mai",,,0,
"backpack","idrekedreke",,,0,
"bag","kato, taga, beki",,,0,
"baggage","iyaya",,,0,
"baker","dauvauimadrai",,,0,
"balcony","varada",,,0,
"ball","polo",,,0,
"band (musical)","mataqiriqiri",,,0,
"band (military)","matabani",,,0,
"bandage (v)","vadreti-taka",,,0,
"bandage (n)","I-vadreti",,,0,
"bank","baqe",,,0,
"banknote","noti, ilavo pepa",,,0,
"bar","valenigunu",,,0,
"bark (n)","kuli",,,0,
"bark (v)","kodro",,,0,
"basket","kato, basikete",,,0,
"bath","tavu ni sisili",,,0,
"bathroom","valenisili",,,0,
"brother","tuaka-",,"male's older brother",0,
"brother","gane","ngaane","female's brother",0,
"brown","braun, raradamu",,,0,
"bruise","dabuiloa",,,0,
"brunet, brunette","uludamu",,,0,
"bucket","vokete",,,0,
"bug","burogo",,,0,
"build (building)","tara",,,0,
"build (wall)","tuva",,,0,
"build (bridge)","viri-a",,,0,
"building","vale",,,0,
"bull","tamanibulumakau",,,0,
"burn (v)","kama",,,0,
"burn (n)","vakama","vaakamaa",,0,
"bus","basi",,,0,
"business","bisinisi",,,0,
"busy","osooso, ogaoga",,,0,
"but","ia, ga","ngaa",,0,
"butcher","buja",,,0,
"butter","bata",,,0,
"butterfly","bebe","mbeembee",,0,
"buy","voli-a",,,0,
"cabbage","kaveti",,,0,
"café","valenikana",,,0,
"cake","keke",,,0,
"camera","itaba",,,0,
"camp (n - army)","keba",,,0,
"candle","kadrala","kaandrala",,0,
"candy","loli",,,0,
"capital","koroturaga",,,0,
"car","motoka",,,0,
"cards (play cards)","veimau",,,0,
"cards (deck of)","imau",,,0,
"care","qarauna, maroroya",,"to take care of",0,
"care","veitalia (vei au)",,"I don't care",0,
"carpenter","matai",,,0,
"carrot","kareti",,,0,
"carry","kau-ta",,,0,
"carry in arms","roqo-ta",,,0,
"carry baby in arms","keve-ta",,,0,
"carry on back","dreke-ta",,,0,
"carry (person) on back","vava","vavaa",,0,
"carry on shoulder","cola-to",,,0,
"cassava","tavioka",,,0,
"cat","pusi",,,0,
"catch (thing thrown)","ciqo-ma",,,0,
"catch (thing running)","tobo-ka",,,0,
"catholic","katolika",,,0,
"cattle","bulumakau",,,0,
"cave","qaravatu",,,0,
"cemetery","ibulubulu",,,0,
"cent","sede",,,0,
"centre","loma-donu",,,0,
"certain","kila sara ga","kilaa sara ngaa",,0,
"chair","idabedabe",,,0,
"chance","gauna",,,0,
"change (money)","veisau-taka",,,0,
"chat","veitalanoa",,,0,
"cheese","jisi",,,0,
"chemist (pharmacy)","kemesi",,,0,
"cheque","jeke",,,0,
"chewing gum","drega",,,0,
"chicken","toa",,,0,
"chief","turaga","tuuranga",,0,
"chief's house","valelevu",,,0,
"brother","taci-",,"male's younger brother",0,
"child","gone",,,0,
"child (offspring)","luve-",,,0,
"chilli","rokete, boro",,,0,
"chocolate","jokeliti",,,0,
"Relationship","Fijian Kin term",,,0,
"Elder brother","tuakaqu tagane",,,0,
"Younger brother","taciqu tagane",,,0,
"Elder sister","tuakaqu yalewa",,,0,
"Younger sister","taciqu yalewa",,,0,
"Father","tata",,,0,
"Mother","nana",,,0,
"Mother's brother","momo",,,0,
"Mother's elder sister","nana levu",,,0,
"Mother's younger sister","nana lailai",,,0,
"Father's elder brother","tata levu",,,0,
"Father's younger brother","tata lailai",,,0,
"Father's sister","nei",,,0,
"Father's elder brother's wife","nana levu",,,0,
"Father's younger brother's wife","nana lailai",,,0,
"Mother's brother's wife","nei",,,0,
"Father's sister's husband","momo",,,0,
"Mother's elder sister's husband","tata levu",,,0,
"Mother's younger sister's husban","tata lailai",,,0,
"Father's father","bubu tagane",,,0,
