grapheme	phoneme
Aba	_!'ɒbɒ
Abaffy	_!'ɒbɒffi
Abafi	_!'ɒbɒfi
Abaliget	_!'ɒbɒligɛt
Abasár	_!'ɒbɒʃaːɐ̯
Abay	_!'ɒbɒi
Abaúj	_!'ɒbɒuːj
Abaújalpár	_!'ɒbɒuːjɒlpaːɐ̯
Abaújkér	_!'ɒbɒuːjkeːɐ̯
Abaújlak	_!'ɒbɒuːjlɒk
Abaújszolnok	_!'ɒbɒuːjsolnok
Abaújszántó	_!'ɒbɒuːjsaːntoː
Abaújvár	_!'ɒbɒuːjvaːɐ̯
Abda	_!'ɒbdɒ
Abday	_!'ɒbdɒi
Abel	_!'ɒbɛl
Abella	_!'ɒbɛllɒ
Abelovszki	_!'ɒbɛlovski
Abesszínia	_!'ɒbɛssiːni;ɒ
Abet	_!'ɒbɛt
Abigél	_!'ɒbigeːl
Abod	_!'ɒbod
Abody	_!'ɒbodi
Abony	_!'ɒboɲ
Abrudbánya	_!'ɒbɐ̯udbaːɲɒ
Absolon	_!'ɒbʃolon
Abt	_!'ɒbt
Abuja	_!'ɒbujɒ
Abádi	_!'ɒbaːdi
Abádszalók	_!'ɒbaːts:ɒloːk
Acapulco	_!'ɒtsɒpultso
Access	_!'ɒts:ɛʃʃ
Accra	_!'ɒts:ɐ̯ɒ
Ackner	_!'ɒtsknɛɐ̯
Acsa	_!'ɒtʃɒ
Acsalag	_!'ɒtʃɒlɒg
Acsay	_!'ɒtʃɒi
Acsád	_!'ɒtʃaːd
Acsády	_!'ɒtʃaːdi
Aczél	_!'ɒtseːl
Ada	_!'ɒdɒ
Adalbert	_!'ɒdɒlbɛɐ̯t
Adami	_!'ɒdɒmi
Adigeföld	_!'ɒdigɛføld
Adler	_!'ɒdlɛɐ̯
Adolf	_!'ɒdolf
Adonisz	_!'ɒdonis
Adony	_!'ɒdoɲ
Adorján	_!'ɒdoɐ̯jaːn
Adorjánháza	_!'ɒdoɐ̯jaːnhaːzɒ
Adorjás	_!'ɒdoɐ̯jaːʃ
Adria	_!'ɒdɐ̯i;ɒ
Adriany	_!'ɒdɐ̯i;ɒɲ
Adrienn	_!'ɒdɐ̯i;ɛnn
Adrienne	_!'ɒdɐ̯i;ɛnnɛ
Adrián	_!'ɒdɐ̯i;aːn
Ady	_!'ɒdi
Adyak	_!'ɒdi;ɒk
Adács	_!'ɒdaːtʃ
Adásztevel	_!'ɒdaːstɛvɛl
Adél	_!'ɒdeːl
Aeneas	_!'ɒɛnɛɒʃ
Aeneassal	_!'ɒɛnɛɒʃʃɒl
Aeneasszal	_!'ɒɛnɛɒssɒl
Aeneasszá	_!'ɒɛnɛɒssaː
Aeneassá	_!'ɒɛnɛɒʃʃaː
Afganisztán	_!'ɒfgɒnistaːn
Afrika	_!'ɒfɐ̯ikɒ
Aggházy	_!'ɒgghaːzi
Aggtelek	_!'ɒggtɛlɛk
Aggteleky	_!'ɒggtɛlɛki
Agnelli	_!'ɒgnɛlli
Agostyán	_!'ɒgoʃçaːn
Agricola	_!'ɒgɐ̯itsolɒ
Aguszta	_!'ɒgustɒ
Agyagosszergény	_!'ɒɟɒgossɛɐ̯geːɲ
Agárd	_!'ɒgaːɐ̯d
Aida	_!'ɒidɒ
Aigner	_!'ɒignɛɐ̯
Aires	_!'ɒiɐ̯ɛʃ
Airessel	_!'ɒiɐ̯ɛʃʃɛl
Airesszel	_!'ɒiɐ̯ɛssɛl
Airesszé	_!'ɒiɐ̯ɛsseː
Airessé	_!'ɒiɐ̯ɛʃʃeː
Airy	_!'ɒiɐ̯i
Aistleitner	_!'ɒiʃtlɛitnɛɐ̯
Aiszkhülosz	_!'ɒiskhylos
Aiszóposz	_!'ɒisoːpos
Aiwa	_!'ɒivɒ
Aixinger	_!'ɒiksiŋgɛɐ̯
Ajak	_!'ɒjɒk
Ajka	_!'ɒjkɒ
Ajkarendek	_!'ɒjkɒɐ̯ɛndɛk
Ajkay	_!'ɒjkɒi
Ajtay	_!'ɒjtɒi
Ajtony	_!'ɒjtoɲ
Ajtósi	_!'ɒjtoːʃi
Aka	_!'ɒkɒ
Akali	_!'ɒkɒli
Akasztó	_!'ɒkɒstoː
Akhilleusz	_!'ɒkhillɛus
Aknaszlatina	_!'ɒknɒslɒtinɒ
Alabama	_!'ɒlɒbɒmɒ
Alacska	_!'ɒlɒtʃkɒ
Aladdin	_!'ɒlɒddin
Aladár	_!'ɒlɒdaːɐ̯
Alajos	_!'ɒlɒjoʃ
Alaksza	_!'ɒlɒksɒ
Alap	_!'ɒlɒp
Alapy	_!'ɒlɒpi
Alaszka	_!'ɒlɒskɒ
Alattyán	_!'ɒlɒç:aːn
