	syllabic	son	cont	voice	labial	dental	palatal	dorsal	strident	rhotic	lateral	nasal	high	low	back	round	length
a	+	+	+	0	0	0	0	0	0	0	0	0	-	+	+	-	-
e	+	+	+	0	0	0	0	0	0	0	0	0	-	+	-	-	-
o	+	+	+	0	0	0	0	0	0	0	0	0	-	-	+	+	-
O	+	+	+	0	0	0	0	0	0	0	0	0	-	-	-	+	-
u	+	+	+	0	0	0	0	0	0	0	0	0	+	-	+	+	-
y	+	+	+	0	0	0	0	0	0	0	0	0	+	-	-	+	-
i	+	+	+	0	0	0	0	0	0	0	0	0	+	-	-	-	-
p	-	-	-	-	+	0	0	0	-	0	0	0	0	0	0	0	-
b	-	-	-	+	+	0	0	0	-	0	0	0	0	0	0	0	-
t	-	-	-	-	0	+	0	0	-	0	0	0	0	0	0	0	-
d	-	-	-	+	0	+	0	0	-	0	0	0	0	0	0	0	-
T	-	-	-	-	0	0	+	0	-	0	0	0	0	0	0	0	-
D	-	-	-	+	0	0	+	0	-	0	0	0	0	0	0	0	-
k	-	-	-	-	0	0	0	+	-	0	0	0	0	0	0	0	-
g	-	-	-	+	0	0	0	+	-	0	0	0	0	0	0	0	-
c	-	-	-	-	0	+	0	0	+	0	0	0	0	0	0	0	-
q	-	-	-	+	0	+	0	0	+	0	0	0	0	0	0	0	-
C	-	-	-	-	0	0	+	0	+	0	0	0	0	0	0	0	-
Q	-	-	-	+	0	0	+	0	+	0	0	0	0	0	0	0	-
f	-	-	+	-	+	0	0	0	-	0	0	0	0	0	0	0	-
v	-	-	+	+	+	0	0	0	-	0	0	0	0	0	0	0	-
s	-	-	+	-	0	+	0	0	+	0	0	0	0	0	0	0	-
z	-	-	+	+	0	+	0	0	+	0	0	0	0	0	0	0	-
S	-	-	+	-	0	0	+	0	+	0	0	0	0	0	0	0	-
Z	-	-	+	+	0	0	+	0	+	0	0	0	0	0	0	0	-
h	-	-	+	-	0	0	0	+	-	0	0	0	0	0	0	0	-
m	-	+	-	0	+	0	0	0	0	-	-	+	0	0	0	0	-
n	-	+	-	0	0	+	0	0	0	-	-	+	0	0	0	0	-
N	-	+	-	0	0	0	+	0	0	-	-	+	0	0	0	0	-
l	-	+	+	0	0	+	0	0	0	-	+	-	0	0	0	0	-
r	-	+	+	0	0	+	0	0	0	+	-	-	0	0	0	0	-
j	-	+	+	0	0	0	+	0	0	-	-	-	0	0	0	0	-
aa	+	+	+	0	0	0	0	0	0	0	0	0	-	+	+	-	+
ee	+	+	+	0	0	0	0	0	0	0	0	0	-	+	-	-	+
oo	+	+	+	0	0	0	0	0	0	0	0	0	-	-	+	+	+
OO	+	+	+	0	0	0	0	0	0	0	0	0	-	-	-	+	+
uu	+	+	+	0	0	0	0	0	0	0	0	0	+	-	+	+	+
yy	+	+	+	0	0	0	0	0	0	0	0	0	+	-	-	+	+
ii	+	+	+	0	0	0	0	0	0	0	0	0	+	-	-	-	+
pp	-	-	-	-	+	0	0	0	-	0	0	0	0	0	0	0	+
bb	-	-	-	+	+	0	0	0	-	0	0	0	0	0	0	0	+
tt	-	-	-	-	0	+	0	0	-	0	0	0	0	0	0	0	+
dd	-	-	-	+	0	+	0	0	-	0	0	0	0	0	0	0	+
TT	-	-	-	-	0	0	+	0	-	0	0	0	0	0	0	0	+
DD	-	-	-	+	0	0	+	0	-	0	0	0	0	0	0	0	+
kk	-	-	-	-	0	0	0	+	-	0	0	0	0	0	0	0	+
gg	-	-	-	+	0	0	0	+	-	0	0	0	0	0	0	0	+
cc	-	-	-	-	0	+	0	0	+	0	0	0	0	0	0	0	+
qq	-	-	-	+	0	+	0	0	+	0	0	0	0	0	0	0	+
CC	-	-	-	-	0	0	+	0	+	0	0	0	0	0	0	0	+
QQ	-	-	-	+	0	0	+	0	+	0	0	0	0	0	0	0	+
ff	-	-	+	-	+	0	0	0	-	0	0	0	0	0	0	0	+
vv	-	-	+	+	+	0	0	0	-	0	0	0	0	0	0	0	+
ss	-	-	+	-	0	+	0	0	+	0	0	0	0	0	0	0	+
zz	-	-	+	+	0	+	0	0	+	0	0	0	0	0	0	0	+
SS	-	-	+	-	0	0	+	0	+	0	0	0	0	0	0	0	+
ZZ	-	-	+	+	0	0	+	0	+	0	0	0	0	0	0	0	+
hh	-	-	+	-	0	0	0	+	-	0	0	0	0	0	0	0	+
mm	-	+	-	0	+	0	0	0	0	-	-	+	0	0	0	0	+
nn	-	+	-	0	0	+	0	0	0	-	-	+	0	0	0	0	+
NN	-	+	-	0	0	0	+	0	0	-	-	+	0	0	0	0	+
ll	-	+	+	0	0	+	0	0	0	-	+	-	0	0	0	0	+
rr	-	+	+	0	0	+	0	0	0	+	-	-	0	0	0	0	+
jj	-	+	+	0	0	0	+	0	0	-	-	-	0	0	0	0	+
