	syll	cons	son	cont	lateral	nasal	voice	dor	lab	cor	strid	high	low	back	long	liquid
p	-	+	-	-	0	-	-	0	+	0	0	0	0	+	-	0
P	-	+	-	-	0	-	-	0	+	0	0	0	0	+	+	0
b	-	+	-	-	0	-	+	0	+	0	0	0	0	+	-	0
B	-	+	-	-	0	-	+	0	+	0	0	0	0	+	+	0
m	-	+	+	-	0	+	+	0	+	0	0	0	0	+	-	0
M	-	+	+	-	0	+	+	0	+	0	0	0	0	+	+	0
f	-	+	-	+	0	-	-	0	+	0	0	0	0	+	-	0
F	-	+	-	+	0	-	-	0	+	0	0	0	0	+	+	0
w	-	-	+	+	0	-	+	0	+	0	0	0	0	+	-	0
W	-	-	+	+	0	-	+	0	+	0	0	0	0	+	+	0	
k	-	+	-	-	0	-	-	+	0	0	0	+	-	+	-	0
K	-	+	-	-	0	-	-	+	0	0	0	+	-	+	+	0
g	-	+	-	-	0	-	+	+	0	0	0	+	-	+	-	0
G	-	+	-	-	0	-	+	+	0	0	0	+	-	+	+	0
t	-	+	-	-	0	-	-	0	0	+	-	0	0	+	-	0
T	-	+	-	-	0	-	-	0	0	+	-	0	0	+	+	0
d	-	+	-	-	0	-	+	0	0	+	-	0	0	+	-	0
D	-	+	-	-	0	-	+	0	0	+	-	0	0	+	+	0
s	-	+	-	+	0	-	-	0	0	+	+	0	0	+	-	0
S	-	+	-	+	0	-	-	0	0	+	+	0	0	+	+	0
n	-	+	+	-	0	+	+	0	0	+	-	0	0	+	-	0
N	-	+	+	-	0	+	+	0	0	+	-	0	0	+	+	0
r	-	+	+	+	-	-	+	0	0	+	-	0	0	+	-	+
R	-	+	+	+	-	-	+	0	0	+	-	0	0	+	+	+
l	-	+	+	+	+	-	+	0	0	+	-	0	0	+	-	+
L	-	+	+	+	+	-	+	0	0	+	-	0	0	+	+	+
j	-	-	+	+	0	-	+	0	0	+	-	+	-	-	-	0
J	-	-	+	+	0	-	+	0	0	+	-	+	-	-	+	0
h	-	+	-	+	0	-	-	0	0	0	-	0	0	0	-	0
i	+	-	+	+	0	-	+	0	0	0	0	+	-	-	0	0
e	+	-	+	+	0	-	+	0	0	0	0	-	-	-	0	0
a	+	-	+	+	0	-	+	0	0	0	0	-	+	+	0	0
o	+	-	+	+	0	-	+	0	0	0	0	-	-	+	0	0
u	+	-	+	+	0	-	+	0	0	0	0	+	-	+	0	0
