g e ʧ	гэж
p ai s ə ŋ	байсан
p ai ɢ a	байгаа
n e g	нэг
e n	энэ
p ɔ ɮ	бол
ɔ n	оны
x u ŋ	хүн
i x	их
p ai t ə g	байдаг
ɔ n t	онд
p ai χ	байх
p ɔ ɮ ə ŋ	болон
p o g o t	бөгөөд
ɔ ɮ ə ŋ	олон
e n	Энэ
tʰ e r	тэр
t ee r	дээр
g i s ə ŋ	гэсэн
s a r ə ŋ	сарын
p ɔ ɮ s ə ŋ	болсон
g i t ə g	гэдэг
ʃ i g	шиг
ʊ ɮ s	улс
ʊ ɮ s ə ŋ	улсын
p ɔ ɮ ʧ	болж
m ɔ ɴ ɢ ə ɮ	Монгол
p ɔ ɮ ə χ	болох
p ɔ ɮ ə n	болно
p a s	бас
ɢ a ʦ ə r	газар
u j ə t	үед
g ee t	гээд
x a m gʲ i ŋ	хамгийн
χ ɔ j ə r	хоёр
ʧʰ i nʲ	чинь
tʰ ʊ χ ai	тухай
t ee	дээ
ʊʊ	уу
p ai w	байв
t a r a	дараа
j a m ə r	ямар
pʲ i ɮ e	билээ
n i g ə ŋ	нэгэн
mʲ i nʲ	минь
pʲ i ʃ	биш
p ai ʧ	байж
o m n	өмнө
ʃ uu	шүү
s ai ŋ	сайн
j ʊʊ	юу
ʦ i r ə g	зэрэг
m o ŋ	мөн
a w ʧʰ	авч
tʰ ɔ m	том
t aa	даа
s ai χ ə ŋ	сайхан
o t ə r	өдөр
ʧ i ɮʲ i ŋ	жилийн
x u nʲ i	хүний
p ai ɮ a	байлаа
oo r	өөр
x u m u s	хүмүүс
p ʊ j ʊ	буюу
p ʊi	буй
χ a rʲ ə ŋ	Харин
pʲ ii	бий
x i t ə ŋ	хэдэн
tʰ o rʲ i ŋ	төрийн
g e x	гэх
ʦ ui ɮ	зүйл
oo rʲ i ŋ	өөрийн
ɢ ɔ ɮ	гол
tʰ uu nʲ i	түүний
n a r	нар
ʧ i ɮ	жил
xʲ ii ʧ	хийж
tʰ ʊ s	тус
e r x	эрх
p ai ʧ e	байжээ
t a χ	дахь
ui ɮ	үйл
ʦʰ a g	цаг
tʰ e r	Тэр
t i ɮ xʲ i ŋ	дэлхийн
x u r tʰ ə ɮ	хүртэл
i x	Их
tʰ a ɮ a r	талаар
p u r	бүр
m aa nʲ	маань
χ ʊ wʲ t	хувьд
m ɔ ɴ ɢ ə ɮ ə ŋ	Монголын
mʲ i nʲ i	миний
m e tʰ	мэт
ʊ t a	удаа
ɔ t ɔ	одоо
p u x	бүх
m a ʃ	маш
ʃ i n	шинэ
n e r	нэр
p ʊ s ə t	бусад
p ɔ ɮ ə w ʧʰ	боловч
pʲ i t	бид
ɔ r ə ŋ	орон
u g	үг
x i r ə g tʰ e	хэрэгтэй
ʦ a s gʲ i ŋ	засгийн
