a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
aika 	DKD 		kanu 		aika DKD kanu . Kana munhu achiti aika anenge achikanuka mushure mokunge paitika zvinhu zvanga zvisingatarisirwi panguva iyoyo. Taitamba tose tikaona, aika, Farai atotsamwa.
aiwa 	KDD 		kanu 		aiwa KDD kanu . Kana munhu achiti aiwa anenge ari kuramba zvinenge zviri kutaurwa nezvazvo. Aiwa, handisi kuda kutambira timu yenyu bhora. kwete, bodo .
aizi 	KDD 	9>10 	z 		aizi aisi KDD z 9>10 . Aizi magodo echando chakagwamba.
akaunzi 	DKDD 	9>10 	z 		akaunzi DKDD z 9>10 . Akaunzi chidzidzo chokutamba samhu dzemari nokuironga. Kuchikoro vari kuita akaunzi, saka zvinovabatsira kubhizinesi ravo.
amai 	DKD 	2b 	z 		amai DKD z 2b . mai .
amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
amainini 	DKDKK 	2b 	z 		amainini DKDKK z 2b . mainini 2a .
-ambuka 	D 				-ambuka D it . -yambuka .
ambuya 	DKD 	2b 	z 		ambuya DKD z 2b . mbuya 1a .
ambuya 	KDD 	2b 	z 		ambuya KDD z 2b . mbuyawasha 1a .
ambuyawasha 	KDDDD 	2b 	z 		ambuyawasha KDDDD z 2b . mbuyawasha 1a .
-amwa 	K 				-amwa K itik . f. -yamwa .
ani 	DK 		bvunz 		ani DK bvunz . Izwi rokuti ani rinoshandiswa kubvunza mubvunzo wokuti ari ataurwa adomwe nezita.
apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
arawuru 	DDKD 	9>10 	z 		arawuru DDKD z 9>10 . Uyu mutambo unowanzotambwa nevana, mazuva emvura pasi pari panyoro, wavanenge vachikava kadombo mumabhokisi avanenge vakatara pasi.
areruya 	DDKD 		kanu 		areruya hareruya DDKD kanu . Iri izwi rinoshandiswa kuchechi kuratidza rukudzo kuna Kristu.
asi 	KD 		bvunz 		asi KD bvunz . Iri izwi rokukanuka rinoshandiswa mumuvhunzo waunenge uchitoziva mhinduro yacho kare. Asi hausi kuda kuenda nevamwe?
aunzi 	KDD 	5/9>10 	z 		aunzi KDD z 5/9>10 . Aunzi ishinda inenge yakambomberwa kuita bundu.
ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
-ba 	K 				-ba K it . Ku ba kutora zvinhu zvavamwe muchivande usina chinangwa chekuzvidzosa,ivo vozongoona zvisisipo vave kuzvida.
baba wenhaka 	DK DKD 	1a 	z 		baba wenhaka DK DKD z 1a . Baba wenhaka munhu anogara nhaka achisara achichengeta vana vomufi.
babamudiki 	DKKD 	1a 	z 		babamudiki babamuduku DKKD z 1a . babamunini 1a .
babamunembeva 	DKKKD 	1a 	z 		babamunembeva DKKKD z 1a . Urwu rudzi rwebachi rinodziya, rinopfekerwa cheno.
babamunonzwei 	DKDKDK 	1a 	z 		babamunonzwei DKDKDK z 1a . Ichi chibhachi chinenge chisiri kunyatsokwana.
-babandura 	D 				-babandura D it . Ku babandura kutsenga zvinhu zvakaomarara zvakaita sembambaira mbishi.
-badanuka 	K 				-badanuka K itik . Ku badanuka kubva ruvara kana rukanda nyore. Ndiro dzamazuvano hadzitani kubadanuka nokuti pendi yavako haina kusimba.
badara badara 	D- 		ny 		badara badara D- ny . Kana munhu achiti badara badara anenge achizvipunzira pasi neshungu, kunyanya anenge afirwa.
-baduka 	K 				-baduka K itik . -tsemuka .
-badura 	K 				-badura K it . -pamhadza .
badza 	DK 	5 	z 		badza DK z 5 . Badza mudziyo wokurimisa unogadzirwa nesimbi yakapfekerwa mumupinyi unoshandiswa pakusakura. Badza igejo rekurimisa nemombe kana mbongoro dzakasungwa. Badza imari inoripwa padare nanyakumhan'ara kuti mhosva yake itongwe.
bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
bakapaka 	D- 	5 	z 		bakapaka D- z 5 . chipatapata 7 .
bakatwa 	K- 	5 	z 		bakatwa K- z 5 . Bakatwa zibanga ziguru rinocheka nekwese kazhinji rinogara mumuhara.
bako 	D- 	5>6 	z 		bako D- z 5>6 . Bako mukana unowanikwa pakati pemabwe makuru munokwanisa kupindwa navanhu kana muhuka zvichihwanda sezvakaita mvura kana vavengi.
bamba 	K- 	5 	z 		bamba K- z 5 . Kuva ne bamba kuita tsika yokutora zvavamwe nomukundo.
bambo 	D- 	1a 	z 		bambo D- z 1a . baba 1a .
bambomukunda 	DDDKD 	1a 	z 		bambomukunda DDDKD z 1a . vatete 2a .
bamburo 	K- 	5 	z 		bamburo K- z 5 . Bamburo imari inotaurwa natezvara yokuripisa mukwasha achiroora.
banamhana 	D- 	5 	z 		banamhana D- z 5 . Ichi chinhu chakapafarara. Pazvarwa mwana ane banamhana romusoro.
banda 	D- 	5>6 	z 		banda D- z 5>6 . Banda ibango rinodzimikirwa pakati pemba kuti risimbise denga pakuturika.
bandachakata 	D- 	9 	z 		bandachakata D- z 9 . huriti 14 .
-bandana 	D 				-bandana D itik . Ku bandana kutsemuka kunoita zvinhu kana zvakwizirana.
bandauko 	KKKD 	5>6 	z 		bandauko bandaoko KKKD z 5>6 . Iri igumbo repamberi remhuka yavhiyiwa.
-bandira 	D 				-bandira D it . Kana chikafu chichi bandira chinenge chiine tutombo tunorumira kana munhu achitsenga. Kana munhu achi bandira anenge achidyara pasina kurimwa.
banga 	K- 	5>6 	z 		banga K- z 5>6 . Banga chombo chinoshandiswa kucheka zvinhu. Iri ibanga rokuchekesa nyama asi iri nderokuchekesa chingwa.
banganwa 	DKD 	5 	z 		banganwa DKD z 5 . Banganwa izano kana kuti chinhu chawiriranwa kuitwa.
bangara 	D- 	5 	z 		bangara D- z 5 . nyevhe 9 .
-bango- 	D- 		vp 		-bango- D- vp . -bango- izwi rinoratidza kuti zviri kuitwa kana kutaurwa hazvisiri kuzobudirira nekuti hapana zviripo. Mwana uyu kubangoenda hake kuchikoro haana zvaanoziva.
bango 	D- 	5 	z 		bango D- z 5 . Bango idanda rinoshandiswa sezvakaita kuvakisa imba kana danga.
banguranyika 	D- 	1a 	z 		banguranyika D- z 1a . Uyu munhu anofarira zvokufamba achiona nzvimbo dzakasiyana- siyana.
banho 	D 	5 	z 		banho D z 5 . nhekwe 9 .
banya 	KD 	5 	z 		banya KD z 5 . Banya rudzi rwembeva huru inogara mumakura.
-banzura 	D 				-banzura D it . Ku banzura kutsemura sezvakaita rumuti kana danda nepakati. -rova .
bapatyuro 	KKKD 	5 	z 		bapatyuro KKKD z 5 . Iyi ishumba inodya vanhu.
bapiro 	D- 	5>6 	z 		bapiro D- z 5>6 . Bapiro inhengo yemuviri weshiri kana ndege inosakisa kuti zvigone kubhururuka.
-bara 	K 				-bara K it . -zvara .
bara 	KD 	5 	z 		bara KD z 5 . Bara chisimbi chakaurungana chinobuda mukasha yepfuti chichinobaya wacho anenge achipfurwa. mbumburu 9 .
baradzamusasa 	D- 	5 	z 		baradzamusasa D- z 5 . Iyi ihari yehwahwa yokupedzisira inonwiwa vanhu voparadzana kuenda kudzimba.
baradzanwa 	DDKD 	5 	z 		baradzanwa DDKD z 5 . Uku kutsaukana kwenzira dzanga dziri mugwagwa mumwe chete.
baravara 	K- 	5>6 	z 		baravara K- z 5>6 . Uyu musoro wakaveurwa kana kubviswa vhudzi rose kusara wava musvuu.
barwe 	KD 	5 	z 		barwe KD z 5 . chibage 7 .
basi 	KD 		dc 		basi KD dc . Tinoshandisa izwi rokuti basi kuratidza kuti zvinotaurwa kana kuti zvaitika ndizvozvo chete hapana zvimwe. Akandiudza kuti hapana usavi nokuti mari yakanga yasara raiva dhora basi.
-bata-bata 	D 				-bata-bata D itik . Kubata-bata kuedza kuita zvinhu zvakawanda nechimbichimbi, muchiti chino ite morega, moitazve chimwe. Kana munhu achi bata-bata anenge achidanana nevanhu vakawanda.
-batana 	K 				-batana K it . Ku batana kuva vanhu vanopindirana pamwe chete mudonzvo ravanenge vainaro. Varwiri verusununguko vaiva vakabatana zvokuti vashoma vavo vakapanduka.
-batika 	K 				-batika K itik . Ku batika kunge munhu aine basa kana zvimwe zvinhu zvinomutadzisa kuita mamwe mabasa panguva imweyo. -manikidza .
-batikana 	K 				-batikana K itik . Ku batikana kuva nebasa rakawanda rinokutadzisa kuita mamwe mabasa. -batika .
bato 	D- 	5>6 	z 		bato D- z 5>6 . Bato chikamu chevanhu vanotsigira pfungwa imwe chete.
batsavatsi 	D- 	5 	z 		batsavatsi D- z 5 . Aya maruvhuruvhu anowanikwa mukati mechuru kana kuti chidhunduru munenge muine zimai rechuru.
-batsira 	K 				-batsira K it . Kana uka batsira munhu unenge wamupa ruyamuro kana kumuitira zvakanaka.
bazi 	DK 	5>6 	z 		bazi DK z 5>6 . Bazi iboka rinenge riri pasi pezimai rakaita sehurumende kana kambani rinenge. Mai vangu vanoshanda kubazi rehurumende reutano.
bebenu 	D- 		ny 		bebenu D- ny . bhebhenu .
-bedura 	K 				-bedura K it . Kubedura kugura chidimbu kubva pachinhu chihombe. Pedura chidhinha ichi chigokwana patinoda kuchitsveta.
beferere 	D- 	5 	z 		beferere D- z 5 . Kana mbeswa iri beferere inenge ichitefa kuratidza kuti haina kunyatsa kusvika.
bembenene 	D- 	5 	z 		bembenene D- z 5 . Urwu rudzi rwechimbuyu chine mapapiro makuru,chinogona kuva mamavara mavara dzimwe nguva.
bembero 	KKD 	5 	z 		bembero KKD z 5 . Bembero chipo chinobviswa kupa vanhu vane mutambo wekufarira chimwe chinhu.
bembwe 	D- 	5 	z 		bembwe D- z 5 . mhembwe 9 .
bemhe 	DK 	5>6 	z 		bemhe DK z 5>6 . Bemhe muswe wehwai wakakora nemafuta.
bemho 	D- 	5>6 	z 		bemho D- z 5>6 . Bemho kuita komunhu akapiwa chitarafu nemidzimu kokutanga adzana nokuimbira vanhu vaanosuvira kuti vamupe chikafu. Zvinonzi ukarova mai vanoita ngozi yaunozopedzisira wapinda munyaya dzebemho.
benemene 	K- 		ny 		benemene K- ny . Kuti benemene kuchena kwedenga risina kana kakore.
bengenu 	D- 		ny 		bengenu D- ny . pengenu .
bengo 	K- 	5 	z 		bengo K- z 5 . benzi 5 .
benyera 	D- 	5 	z 		benyera D- z 5 . Benyera chinyavada chihombe chinondurira nekumashure.
benzi 	K- 	5>6 	z 		benzi K- z 5>6 . Benzi munhu ane pfungwa dzisingashandi zvakanaka. mupengo 3, bengo 6 .
bepa 	D- 	5>6 	z 		bepa D- z 5>6 . Bepa ishizha rimwe rekunyorera. Bepa igwaro rinodhindwa nhau. pepanhau 5 .
bepe 	D- 	5 	z 		bepe D- z 5 . Bepe indebvu dzakareba.
bepetu 	D- 		ny 		bepetu D- ny . Kana munhu ati bepetu anenge anwa chinwiwa nekuchipedza asina kana kumbozorora.
bepu 	DK 		ny 		bepu DK ny . Kana munhu akati bepu anenge avhurumuka kubva mukufenda, kurara kana zvimwewo.
bepu 	DK 	5 	z 		bepu bapu DK z 5 . Munhu ane bepu munhu anoita zvinhu zvekuvhundukira.
-berebeda 	K 				-berebeda K it . Ku berebeda kudya chibage munhu achiruma dzimwe tsanga nemazino, dzimwe achisiyirira.
berebedu 	KKKD 		ny 		berebedu KKKD ny . Kuti berebedu kuruma-ruma chinhu uchisiyirira zvimwe kana kusiya chava nemaburi maburi.
-bereka 	D 				-bereka D it . Kana munhu achi bereka anenge achikwanisa kuita mwana. -zvara . Ku bereka kutakura mwana kumusana.
berepere 	D- 	5 	z 		berepere D- z 5 . Kana hembe ichinzi yakaita berepere inenge iine ruvara rwakasvibira.
berera 	DKD 	1a 	z 		berera DKD z 1a . Berera igudo guru gonho rinochengetedza mamwe ose anenge ari muchikwata charo. hombiro 5, mombo 9 .
berevere 	DKKD 	5 	z 		berevere DKKD z 5 . buka 5 .
berevezhu 	KKDK 	5 	z 		berevezhu KKDK z 5 . Iri ibvudzi rinosara pamusoro kana wagerwa uchibviswa rimwe rekumativi omusoro. bumu 5 .
besanwa 	DKD 	5 	z 		besanwa DKD z 5 . Besanwa imhomho yavanhu vanofamba vachienda kwakasiyana panguva imwe.
besvu 	K- 		ny 		besvu K- ny . Besvu magariro anoita munhu, akataranganisa makumbo ake zvakanyanya zvinoonesa zviri mukati.
betete 	D- 		ny 		betete D- ny . Kuti betete kugara zvakanaka wakazorora zvizere, sekuzorora uko tinoita takagara pasofa.
-betsera 	K 				-betsera K . -batsira .
beu 	DK 	5 	z 		beu DK z 5 . Beu kugerwa musoro uchisara usina kunyatsopera.
beya 	KD 	5 	z 		beya KD z 5 . Kana zvichinzi munhu akagara beya, anenge akagara asina kunyatsa kuvharidzira hembe yake, kana kuti aine kabudura inenge yakashama makumbo agere, achionesa zviri mukati.
beza 	D- 		ny 		beza D- ny . Kuti beza kugara munhu akangonyarara.
bha 	K 		ny 		bha K ny . Kuti bha kurira kunoita chinhu charohwa zvakasimba.
-bhabhadzira 	K 				-bhabhadzira K it . Ku bhabhadzira kurova nhengo yemuviri wemunhu kana mhuka zvinyoronyoro kuri kuratidza rudo kana kufarira.
-bhabhama 	D 				-bhabhama D it . Ku bhabhama kurovanisa mapapiro pamuviri sezvinoita jongwe roda kurira.
bhabhangu 	DDK 		ny 		bhabhangu DDK ny . Kuti bhabhangu kudhidha uchirova mvura nemakumbo zvine simba nemakumbo.
-bhabhanura 	D 				-bhabhanura D it . Ku bhadhanura kuvhura gwaro kana jira rinenge rakavharwa kana kuputirwa.
-bhabhatidza 	K 				-bhabhatidza bhapatidza K it . Kana mupirisiti achi bhabhatidza munhu anenge achimunyika mumvura senzira yekumusuka zvitadzo zvake kuti achitanga kuva mutendi akakwana.
-bhadhara 	D 				-bhadhara D it . Kana uchi bhadhara unenge uchibvisa mari kana zvimwewo zvinenge zvarehwa kuti uwane chaunenge uchida.
bhadhu 	KD 		ny 		bhadhu KD ny . Kana wanzi bhadhu unenge warohwa nembama kumeso kana mumusoro.
-bhadhura 	K 				-bhadhura K it . Ku bhadhura kurova munhu kumeso kana mumusoro nembama.
bhagidhi 	KDD 	5 	z 		bhagidhi bhagedhe KDD z 5 . Bhagidhi mudziyo wesimbi unochereswa mvura kana kutakuriswa zvinhu.
bhagu 	KD 	5/9>10 	z 		bhagu KD z 5/9>10 . Bhagu zimbwa ziguru rine maromo makuru nekumeso kwakashata.
bhahari 	KDD 	5 	z 		bhahari KDD z 5 . nyanza 9 .
bhaira 	D- 	5 	z 		bhaira D- z 5 . Bhaira inzvimbo inenge iine moto wakawanda unopisa.
bhakani 	KDD 	5 	z 		bhakani KDD z 5 . ndima 9 .
-bhamaradza 	K 				-bhamaradza K it . -bamhadza .
bhambangu 	DDK 		ny 		bhambangu DDK ny . Kuti bhambangu kurira kwengoma yakakura.
-bhamhadza 	K 				-bhamhadza -bhamadza K it . Ku bhamhadza kurova munhu neruoko.
bhandi 	KD 	5 	z 		bhandi bhande KD z 5 . Bhandi musungo unoshandiswa kubata bhurukwa kana rokwe muchiuno kuti zvizadonhe kana kuti zvinyatsomira zvakanaka.
bhanditi 	DKK 	5 	z 		bhanditi DKK z 5 . Bhanditi munhu ari kupika jeri, anoshanda pasina mubairo waanowana sechirango chemhosva yaakapara.
bhangu 	DK 		ny 		bhangu DK ny . Kuti bhangu kubhuguja munhu achirova mvura zvine ruzha.
bhanzi 	KD 	5 	z 		bhanzi KD z 5 . Bhanzi chidyiwa chinobikwa nefurawu sechingwa asi icho chiri chidiki.
bhara 	KD 	5 	z 		bhara KD z 5 . Bhara chingoro chine vhiri rimwe chete nemakumbo maviri, chinosundwa nemunhu mumwe chete.
bharanzi 	K- 	5/9>10 	z 		bharanzi K- z 5/9>10 . Bharanzi imari inenge yasara sezvakaita mubhangi mushure mokunge imwe yatorwa.
bharaziya 		5 	z 		bharaziya z 5 .
-bharura 	K 				-bharura K it . -bvarura .
bhasa 	KD 	1a 	z 		bhasa KD z 1a . Bhasa izwi rinoreva mukuru pabasa.
bhasikiti 	D- 	5 	z 		bhasikiti D- z 5 . Uyu mudziyo wemumba wakangoita setswanda asi iwo uine mipakato.
bhata 	KD 	5 	z 		bhata KD z 5 . Bhata kudya kwakakorera kunogadzirwa neruomba rwemukaka, kunozorwa sezvakaita pachingwa kana kuiswa mubota.
bhatani 	KDD 	5 	z 		bhatani KDD z 5 . Bhatani chinhu chinopfekerwa paburi rehembe kuti ivharike.
bhaudhi 	KDD 	5 	z 		bhaudhi KDD z 5 . Bhaudhi isimbi inosungwa nechipanera kuitira kusungawo dzimwe simbi dzinenge dzichidiwa kuti dzibate.
bhawa 	KD 	5 	z 		bhawa KD z 5 . Bhawa imba inotengeserwa nekunwirwa hwahwa.
bhazi 	KD 	5 	z 		bhazi KD z 5 . Bhazi zimota zihombe rine zvigaro zvakawanda zvinotakura vanhu vazhinji vari parwendo.
