a 	K 	1a\9 	vm 		a K vm 1a\9 . Iri ivaramwana rinodaidzwa richinzi a-a , riri pekutanga mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
aika 	DKD 		kanu 		aika DKD kanu . Kana munhu achiti aika anenge achikanuka mushure mokunge paitika zvinhu zvanga zvisingatarisirwi panguva iyoyo. Taitamba tose tikaona, aika, Farai atotsamwa.
aiwa 	KDD 		kanu 		aiwa KDD kanu . Kana munhu achiti aiwa anenge ari kuramba zvinenge zviri kutaurwa nezvazvo. Aiwa, handisi kuda kutambira timu yenyu bhora. kwete, bodo .
-ambuka 	D 				-ambuka D it . -yambuka .
ambuya 	DKD 	2b 	z 		ambuya DKD z 2b . mbuya 1a .
ambuya 	KDD 	2b 	z 		ambuya KDD z 2b . mbuyawasha 1a .
ambuyawasha 	KDDDD 	2b 	z 		ambuyawasha KDDDD z 2b . mbuyawasha 1a .
-amwa 	K 				-amwa K itik . f. -yamwa .
areruya 	DDKD 		kanu 		areruya hareruya DDKD kanu . Iri izwi rinoshandiswa kuchechi kuratidza rukudzo kuna Kristu.
ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
-ba 	K 				-ba K it . Ku ba kutora zvinhu zvavamwe muchivande usina chinangwa chekuzvidzosa,ivo vozongoona zvisisipo vave kuzvida.
baba wenhaka 	DK DKD 	1a 	z 		baba wenhaka DK DKD z 1a . Baba wenhaka munhu anogara nhaka achisara achichengeta vana vomufi.
babamunembeva 	DKKKD 	1a 	z 		babamunembeva DKKKD z 1a . Urwu rudzi rwebachi rinodziya, rinopfekerwa cheno.
-babandura 	D 				-babandura D it . Ku babandura kutsenga zvinhu zvakaomarara zvakaita sembambaira mbishi.
-badanuka 	K 				-badanuka K itik . Ku badanuka kubva ruvara kana rukanda nyore. Ndiro dzamazuvano hadzitani kubadanuka nokuti pendi yavako haina kusimba.
badara badara 	D- 		ny 		badara badara D- ny . Kana munhu achiti badara badara anenge achizvipunzira pasi neshungu, kunyanya anenge afirwa.
-baduka 	K 				-baduka K itik . -tsemuka .
-badura 	K 				-badura K it . -pamhadza .
badza 	DK 	5 	z 		badza DK z 5 . Badza mudziyo wokurimisa unogadzirwa nesimbi yakapfekerwa mumupinyi unoshandiswa pakusakura. Badza igejo rekurimisa nemombe kana mbongoro dzakasungwa. Badza imari inoripwa padare nanyakumhan'ara kuti mhosva yake itongwe.
bakapaka 	D- 	5 	z 		bakapaka D- z 5 . chipatapata 7 .
bakatwa 	K- 	5 	z 		bakatwa K- z 5 . Bakatwa zibanga ziguru rinocheka nekwese kazhinji rinogara mumuhara.
bamba 	K- 	5 	z 		bamba K- z 5 . Kuva ne bamba kuita tsika yokutora zvavamwe nomukundo.
bambomukunda 	DDDKD 	1a 	z 		bambomukunda DDDKD z 1a . vatete 2a .
banamhana 	D- 	5 	z 		banamhana D- z 5 . Ichi chinhu chakapafarara. Pazvarwa mwana ane banamhana romusoro.
banda 	D- 	5>6 	z 		banda D- z 5>6 . Banda ibango rinodzimikirwa pakati pemba kuti risimbise denga pakuturika.
bandachakata 	D- 	9 	z 		bandachakata D- z 9 . huriti 14 .
-bandana 	D 				-bandana D itik . Ku bandana kutsemuka kunoita zvinhu kana zvakwizirana.
-bandira 	D 				-bandira D it . Kana chikafu chichi bandira chinenge chiine tutombo tunorumira kana munhu achitsenga. Kana munhu achi bandira anenge achidyara pasina kurimwa.
banga 	K- 	5>6 	z 		banga K- z 5>6 . Banga chombo chinoshandiswa kucheka zvinhu. Iri ibanga rokuchekesa nyama asi iri nderokuchekesa chingwa.
banganwa 	DKD 	5 	z 		banganwa DKD z 5 . Banganwa izano kana kuti chinhu chawiriranwa kuitwa.
bangara 	D- 	5 	z 		bangara D- z 5 . nyevhe 9 .
banguranyika 	D- 	1a 	z 		banguranyika D- z 1a . Uyu munhu anofarira zvokufamba achiona nzvimbo dzakasiyana- siyana.
