bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
barwe 	KD 	5 	z 		barwe KD z 5 . chibage 7 .
beferere 	D- 	5 	z 		beferere D- z 5 . Kana mbeswa iri beferere inenge ichitefa kuratidza kuti haina kunyatsa kusvika.
bembenene 	D- 	5 	z 		bembenene D- z 5 . Urwu rudzi rwechimbuyu chine mapapiro makuru,chinogona kuva mamavara mavara dzimwe nguva.
bembwe 	D- 	5 	z 		bembwe D- z 5 . mhembwe 9 .
bemhe 	DK 	5>6 	z 		bemhe DK z 5>6 . Bemhe muswe wehwai wakakora nemafuta.
benemene 	K- 		ny 		benemene K- ny . Kuti benemene kuchena kwedenga risina kana kakore.
bepe 	D- 	5 	z 		bepe D- z 5 . Bepe indebvu dzakareba.
berepere 	D- 	5 	z 		berepere D- z 5 . Kana hembe ichinzi yakaita berepere inenge iine ruvara rwakasvibira.
berevere 	DKKD 	5 	z 		berevere DKKD z 5 . buka 5 .
betete 	D- 		ny 		betete D- ny . Kuti betete kugara zvakanaka wakazorora zvizere, sekuzorora uko tinoita takagara pasofa.
bheke 	KD 	5 	z 		bheke KD z 5 . Bheke ihomwe hombe yokutakurira zvinhu.
bhenemene 	K- 		ny 		bhenemene K- ny . ngwerewere .
bherere 	D- 		ny 		bherere D- ny . Kuti bherere kuchema kwemakwai.
bheshe 	D- 		ny 		bheshe D- ny . Kuti bheshe ruzha runoitwa nemunhu ari kufamba mujecha. zhwau .
bhizautare 	DKDKD 	5 	z 		bhizautare DKDKD z 5 . bhasikoro 5 .
bikakamwe 	DDKK 	5 	z 		bikakamwe DDKK z 5 . Ichi ndechokunwa chinobikwa nezviyo chakaita sedoro asi chichitapira uye chisingadhakisi. bumhe 5 .
bindepinde 	KKDD 	5 	z 		bindepinde KKDD z 5 . Iyi itambo inenge yakarukwa ndandi dzichipesana-pesana.
bise 	KD 	5 	z 		bise KD z 5 . Bise isora rinokonzera kuti mbeu dzitsve.
biyepiye 	KDKD 	5 	z 		biyepiye KDKD z 5 . Ava vanhu vakawanda vanenge vachidzimaidzika.
boche 	D- 		ny 		boche D- ny . Kuti boche kugamuchira zvaunenge uchipihwa uchiratidza kusatenda. Kuti boche kuuya pamwe chete kwevanhu vakawanda. unga unga .
boche-e 	KD 		ny 		boche-e KD ny . Kuti boche-e kunyenyeredza pane vanhu kuti vasakuone. Akati boche-e neseri kwedanga kuti asaonekwa nevaiva pachivanze.
bonde 	DK 	5 	z 		bonde DK z 5 . Bonde itsanga dzakatsemurwa dzakabatanidzwa nemikosi kugadzira chihukwe chekugarira kana chekurarira. rukukwe 11 .
bondwe 	D- 	5 	z 		bondwe D- z 5 . chigadzamapfihwa 7 . Bondwe mukadzi wechipiri anenge ari munin'ina wemukadzi wekutanga.
bonje 	D- 	5 	z 		bonje D- z 5 . Bonje inzvimbo ine ronda kana yaimbove neronda senge rekurohwa. mbonje 5 . Bonje mucherechedzo unosara pakakwatuka kana kuchecheneka pamudziyo wedhaka. vanga 5 .
bonongwe 	DKD 	5 	z 		bonongwe DKD z 5 . Bonongwe ibundo rinodyiwa semuriwo, rine mashizha akatenderera, rinotsvukuruka pasi kana pamusoro uye rinowanzomera pamatanga. mowa 5, mbowa 5 .
bope 	D- 	5 	z 		bope D- z 5 . Bope ruzha runoitika vanhu vachipopotedzana pachida kurwiwa.
borombe 	DKD 	5 	z 		borombe DKD z 5 . Borombe imombe hadzi ichiri diki isati yazvara. tsiru 5 .
boterere 	KKDD 	5 	z 		boterere KKDD z 5 . Apa panzvimbo panoungana mvura ichitenderera isati yapfuurira ichiyerera.
bove 	D- 		ny 		bove D- ny . Kuti bove kuisa kunoita munhu chidimbu chezvokudya mumukanwa panguva imwe.
bumbe 	KD 	5 	z 		bumbe KD z 5 . Bumbe kudya kunogadzirwa nemhodzi dzemanhanga dzinenge dzagayiwa.
bune 	D- 	5 	z 		bune D- z 5 . Bune muchero unoberekwa nemuti unonzi mubune.
bunguzeze 	D- 	5 	z 		bunguzeze D- z 5 . Idzi inyuchi dzakaungana pamwe chete. Usaende nepapa pane bunguzeze renyuchi. Iyi imheremhere yakanyanya.
bupwe 	KD 	5 	z 		bupwe KD z 5 . Bupwe muti une mashizha anobikwa kuita derere.
bure 	D- 	5 	z 		bure D- z 5 . mbodza 9 .
buretete 	D- 	5 	z 		buretete D- z 5 . Uku kufamba kwezvinhu zvakawanda panhu pamwe, sezvinoita nyuchi.
