Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
aizi 	KDD 	9>10 	z 		aizi aisi KDD z 9>10 . Aizi magodo echando chakagwamba.
akaunzi 	DKDD 	9>10 	z 		akaunzi DKDD z 9>10 . Akaunzi chidzidzo chokutamba samhu dzemari nokuironga. Kuchikoro vari kuita akaunzi, saka zvinovabatsira kubhizinesi ravo.
amai 	DKD 	2b 	z 		amai DKD z 2b . mai .
amainini 	DKDKK 	2b 	z 		amainini DKDKK z 2b . mainini 2a .
ani 	DK 		bvunz 		ani DK bvunz . Izwi rokuti ani rinoshandiswa kubvunza mubvunzo wokuti ari ataurwa adomwe nezita.
asi 	KD 		bvunz 		asi KD bvunz . Iri izwi rokukanuka rinoshandiswa mumuvhunzo waunenge uchitoziva mhinduro yacho kare. Asi hausi kuda kuenda nevamwe?
aunzi 	KDD 	5/9>10 	z 		aunzi KDD z 5/9>10 . Aunzi ishinda inenge yakambomberwa kuita bundu.
babamudiki 	DKKD 	1a 	z 		babamudiki babamuduku DKKD z 1a . babamunini 1a .
babamunonzwei 	DKDKDK 	1a 	z 		babamunonzwei DKDKDK z 1a . Ichi chibhachi chinenge chisiri kunyatsokwana.
basi 	KD 		dc 		basi KD dc . Tinoshandisa izwi rokuti basi kuratidza kuti zvinotaurwa kana kuti zvaitika ndizvozvo chete hapana zvimwe. Akandiudza kuti hapana usavi nokuti mari yakanga yasara raiva dhora basi.
batsavatsi 	D- 	5 	z 		batsavatsi D- z 5 . Aya maruvhuruvhu anowanikwa mukati mechuru kana kuti chidhunduru munenge muine zimai rechuru.
bazi 	DK 	5>6 	z 		bazi DK z 5>6 . Bazi iboka rinenge riri pasi pezimai rakaita sehurumende kana kambani rinenge. Mai vangu vanoshanda kubazi rehurumende reutano.
benzi 	K- 	5>6 	z 		benzi K- z 5>6 . Benzi munhu ane pfungwa dzisingashandi zvakanaka. mupengo 3, bengo 6 .
bhagidhi 	KDD 	5 	z 		bhagidhi bhagedhe KDD z 5 . Bhagidhi mudziyo wesimbi unochereswa mvura kana kutakuriswa zvinhu.
bhahari 	KDD 	5 	z 		bhahari KDD z 5 . nyanza 9 .
bhakani 	KDD 	5 	z 		bhakani KDD z 5 . ndima 9 .
bhandi 	KD 	5 	z 		bhandi bhande KD z 5 . Bhandi musungo unoshandiswa kubata bhurukwa kana rokwe muchiuno kuti zvizadonhe kana kuti zvinyatsomira zvakanaka.
bhanditi 	DKK 	5 	z 		bhanditi DKK z 5 . Bhanditi munhu ari kupika jeri, anoshanda pasina mubairo waanowana sechirango chemhosva yaakapara.
bhanzi 	KD 	5 	z 		bhanzi KD z 5 . Bhanzi chidyiwa chinobikwa nefurawu sechingwa asi icho chiri chidiki.
bharanzi 	K- 	5/9>10 	z 		bharanzi K- z 5/9>10 . Bharanzi imari inenge yasara sezvakaita mubhangi mushure mokunge imwe yatorwa.
bhasikiti 	D- 	5 	z 		bhasikiti D- z 5 . Uyu mudziyo wemumba wakangoita setswanda asi iwo uine mipakato.
bhatani 	KDD 	5 	z 		bhatani KDD z 5 . Bhatani chinhu chinopfekerwa paburi rehembe kuti ivharike.
bhaudhi 	KDD 	5 	z 		bhaudhi KDD z 5 . Bhaudhi isimbi inosungwa nechipanera kuitira kusungawo dzimwe simbi dzinenge dzichidiwa kuti dzibate.
bhazi 	KD 	5 	z 		bhazi KD z 5 . Bhazi zimota zihombe rine zvigaro zvakawanda zvinotakura vanhu vazhinji vari parwendo.
bhebhi 	DK 	5 	z 		bhebhi DK z 5 . Bhebhi izwi rinonyanyoshandiswa nevechidiki kureva mudikani.
bhenji 	KD 	5 	z 		bhenji KD z 5 . Bhenji chigaro chinogara vanhu vazhinji, chinowanzosevenzeswa muzvikoro.
bhezari 	KDD 	5 	z 		bhezari KDD z 5 . Bhezari imari inopihwa munhu nehurumende kana kambani kuti akwanise kudzidza.
bhi 	D 		ny 		bhi D ny . Kana chinhu chati bhi chinenge chadonhera pasi zvine mutsindo.
bhi bhi 	D- 		ny 		bhi bhi D- ny . Kuti bhi bhi kufamba zvine mutsindo.
bhibhiri 	D- 		ny 		bhibhiri D- ny . Kuti bhibhiri kutsika-tsika pasi kwemunhu ari kurwisana nemumwe. biribidi .
bhidhiri bhidhiri 	D- 		ny 		bhidhiri bhidhiri D- ny . Kuti bhidhiri bhidhiri kukunguruka kwechinhu chinorema uye chinorira zvine ruzha. Dhiramu rakati bhidhiri bhidhiri pasi apo raikungurutswa nevana.
bhigiri 	KDK 	5 	z 		bhigiri KDK z 5 . Bhigiri ikomichi huru.
bhii 	KD 	5 	z 		bhii KD z 5 . Bhii nderimwe chete chete remavara anonyoresa mutauro sezvakaita a, b, na z.
bhini 	KD 	5 	z 		bhini KD z 5 . Bhini igaba kana mumwewo mudziyo unoiswa marara.
bhinzi 	KD 	5 	z 		bhinzi KD z 5 . Bhinzi rudzi rwenyemba inogona kuitwa usavi kana kubikiswa mutakura.
bhishopi 	KDD 	1a 	z 		bhishopi KDD z 1a . Bhishopi mufundisi mukuru anotungamirira kereke.
bhisikiti 	KDDD 	5 	z 		bhisikiti KDDD z 5 . Iyi imhando yezvipapata zvakabhekwa.
bhiti 	KD 	9 	z 		bhiti KD z 9 . Bhiti kukasika kana kunonoka kungaitwe nevanhu pakuimba.
bhizimisi 	KDDD 	5 	z 		bhizimisi KDDD z 5 . Ichi chitoro, hotera, bhawa kana imwewo nzira inopinza mari kumuridzi.
