apo 	D- 		bat 		apo D- bat . Izwi iri rinoshandiswa kuratidza nguva yakaitika chinhu mushure mokunge chimwezve chinhu chaitika. Vana vose vakafara apo vakazomuona mukuru wechikoro.
bako 	D- 	5>6 	z 		bako D- z 5>6 . Bako mukana unowanikwa pakati pemabwe makuru munokwanisa kupindwa navanhu kana muhuka zvichihwanda sezvakaita mvura kana vavengi.
bambo 	D- 	1a 	z 		bambo D- z 1a . baba 1a .
bamburo 	K- 	5 	z 		bamburo K- z 5 . Bamburo imari inotaurwa natezvara yokuripisa mukwasha achiroora.
bandauko 	KKKD 	5>6 	z 		bandauko bandaoko KKKD z 5>6 . Iri igumbo repamberi remhuka yavhiyiwa.
bango 	D- 	5 	z 		bango D- z 5 . Bango idanda rinoshandiswa sezvakaita kuvakisa imba kana danga.
banho 	D 	5 	z 		banho D z 5 . nhekwe 9 .
bapatyuro 	KKKD 	5 	z 		bapatyuro KKKD z 5 . Iyi ishumba inodya vanhu.
bapiro 	D- 	5>6 	z 		bapiro D- z 5>6 . Bapiro inhengo yemuviri weshiri kana ndege inosakisa kuti zvigone kubhururuka.
bato 	D- 	5>6 	z 		bato D- z 5>6 . Bato chikamu chevanhu vanotsigira pfungwa imwe chete.
bembero 	KKD 	5 	z 		bembero KKD z 5 . Bembero chipo chinobviswa kupa vanhu vane mutambo wekufarira chimwe chinhu.
bemho 	D- 	5>6 	z 		bemho D- z 5>6 . Bemho kuita komunhu akapiwa chitarafu nemidzimu kokutanga adzana nokuimbira vanhu vaanosuvira kuti vamupe chikafu. Zvinonzi ukarova mai vanoita ngozi yaunozopedzisira wapinda munyaya dzebemho.
bengo 	K- 	5 	z 		bengo K- z 5 . benzi 5 .
bhibho 	KD 	5/9>10 	z 		bhibho KD z 5/9>10 . Bhibho mugererwo wemusoro wekuti munhu anogera rimwe vhudzi rose osiya riri panhongonya rakadaro.
bhingo 	KD 	9 	z 		bhingo KD z 9 . Bhingo rumuti runoshandiswa nevanhu vakazvisungirira, kunyanya vachembera kana vanorwara pakufamba.
bho-o 	D- 		ny 		bho-o D- ny . Kuti bho-o kudzvova. Kana mombe ichiti bho-o inenge ichiita ruzha ichikuma. Mhou yakati bho-o ichichemera mhuru yayo yaive yarasika.
bhodho 	D- 	5 	z 		bhodho D- z 5 . Bhodho ipoto huru yesimbi ine makumbo matatu.
bhodhoro 	KDD 	5 	z 		bhodhoro bhodyera KDD z 5 . Bhodhoro mudziyo wekuchengetera zvinhu wakagadzirwa negirazi.
bhoko bhoko 	DK+ 		ny 		bhoko bhoko DK+ ny . Kuti bhoko bhoko kufamba zvishoma.
bhosvo 	D- 	5 	z 		bhosvo D- z 5 . Bhosvo ndechinoridzwa nevanoita zvemimhanzi, chinorira chichiita zvekufuridzwa.
binduko 	D- 	5 	z 		binduko D- z 5 . Binduko chiitiko chinoomesa upenyu kana kuti chinhu chinokumanikidza kuita zvimwe zvinhu zvawanga usingamboiti.
biriso 	KKD 	5 	z 		biriso KKD z 5 . bisiro 5 .
bisiro 	KKD 	5 	z 		bisiro KKD z 5 . Bisiro izvimbo yakavakirirwa yokupisira hari dzabva mukuumbwa.
bo bo bo 	D- 		ny 		bo bo bo D- ny . Kuti bo bo bo kuuchira maoko sezvinoita mukuwasha kuna ambuya.
bo bo bo 	K- 		ny 		bo bo bo K- ny . Kuti bo bo bo kuramba wakavhara muromo.
bobo 	DK 		ny 		bobo dodo DK ny . Kuti bobo kudonha kwemadonhwe emvura achibva pakakwirira.
bobobo 	K- 		ny 		bobobo K- ny . Kuti bobobo kuvhara maziso sezvinoita munhu ava kurara.
bodo 	D- 		kanu 		bodo D- kanu . Kana munhu achiti bodo anenge ari kuramba zvinenge zviri kutaurwa. Ndamuti uchauya nekumba here, akati bodo.
bodyo 	D- 	5 	z 		bodyo D- z 5 . Bodyo ibasa rinoshandwa nesimba. mushininga 3 . Bodyo injodzi huru.
boko 	K- 	5 	z 		boko K- z 5 . ruoko 11 .
bokopoko 	D- 	5>6 	z 		bokopoko D- z 5>6 . Bokopoko ruzha runoitwa nemvura inoyerera. Takatanga kunzwa bokopoko reVictoria Falls tisati tasvika pariri. bopoma 5 .
bokozozo 	D- 	5 	z 		bokozozo D- z 5 . Ava vanhu vakaungana pamwe chete vasinganyatsozivi zvavari kuita.
bomho 	K- 	5 	z 		bomho K- z 5 . bani 5 .
bomoko 	KKD 	5 	z 		bomoko KKD z 5 . Bomoko kukanganisa kutaura.
bondimbo 	DKD 	5 	z 		bondimbo DKD z 5 . Bondimbo chinhu chakakoresa zvisina kufanira.
bondo 	D- 	5 	z 		bondo D- z 5 . Bondo idutu rembesa, dzakaita semapfunde nezviyo, risina kupuriwa. buro 5 .
bondokoto 	D- 		ny 		bondokoto D- ny . Kuti bondokoto kugara kwemunhu anenge asina, kana kuti asingazivi zvekuita.
bongo 	KD 		ny 		bongo KD ny . Kuti bongo kupanga chokudya kana kunwa.
bongozozo 	D- 		ny 		bongozozo D- ny . Kuti bongozozo kugara munhu achitaridza kutambudzika.
bonho 	KD 		ny 		bonho KD ny . Kuti bonho kurova nekusvuura ganda pamuti. Aingunoti muti bonho achikanda makanda acho pasi.
bono 	KD 		ny 		bono KD ny . Kuti bono kubwaira maziso komunhu apererwa nemazano.
bonyoponyo 	DKDD 	5 	Z 		bonyoponyo DKDD Z 5 . bonhora 5 .
bonzeko 	D- 	5 	z 		bonzeko D- z 5 . bonza 5 .
bopo 	D- 		ny 		bopo D- ny . Bopo imvura inenge yanaya yakawanda zvikuru.
bopo 	KD 	5 	z 		bopo KD z 5 . Bopo rudzi rwegonye rinodyiwa.
