amaiguru 	DKKKK 	2b 	z 		amaiguru DKKKK z 2b . maiguru 2a .
arawuru 	DDKD 	9>10 	z 		arawuru DDKD z 9>10 . Uyu mutambo unowanzotambwa nevana, mazuva emvura pasi pari panyoro, wavanenge vachikava kadombo mumabhokisi avanenge vakatara pasi.
bebenu 	D- 		ny 		bebenu D- ny . bhebhenu .
bengenu 	D- 		ny 		bengenu D- ny . pengenu .
bepetu 	D- 		ny 		bepetu D- ny . Kana munhu ati bepetu anenge anwa chinwiwa nekuchipedza asina kana kumbozorora.
bepu 	DK 		ny 		bepu DK ny . Kana munhu akati bepu anenge avhurumuka kubva mukufenda, kurara kana zvimwewo.
bepu 	DK 	5 	z 		bepu bapu DK z 5 . Munhu ane bepu munhu anoita zvinhu zvekuvhundukira.
berebedu 	KKKD 		ny 		berebedu KKKD ny . Kuti berebedu kuruma-ruma chinhu uchisiyirira zvimwe kana kusiya chava nemaburi maburi.
berevezhu 	KKDK 	5 	z 		berevezhu KKDK z 5 . Iri ibvudzi rinosara pamusoro kana wagerwa uchibviswa rimwe rekumativi omusoro. bumu 5 .
besvu 	K- 		ny 		besvu K- ny . Besvu magariro anoita munhu, akataranganisa makumbo ake zvakanyanya zvinoonesa zviri mukati.
beu 	DK 	5 	z 		beu DK z 5 . Beu kugerwa musoro uchisara usina kunyatsopera.
bhabhangu 	DDK 		ny 		bhabhangu DDK ny . Kuti bhabhangu kudhidha uchirova mvura nemakumbo zvine simba nemakumbo.
bhadhu 	KD 		ny 		bhadhu KD ny . Kana wanzi bhadhu unenge warohwa nembama kumeso kana mumusoro.
bhagu 	KD 	5/9>10 	z 		bhagu KD z 5/9>10 . Bhagu zimbwa ziguru rine maromo makuru nekumeso kwakashata.
bhambangu 	DDK 		ny 		bhambangu DDK ny . Kuti bhambangu kurira kwengoma yakakura.
bhangu 	DK 		ny 		bhangu DK ny . Kuti bhangu kubhuguja munhu achirova mvura zvine ruzha.
bhebhenu 	D- 		ny 		bhebhenu D- ny . Kuti bhebhenu kuvhura chinhu chakavharwa. bhedhenu .
bhedhenu 	D- 		ny 		bhedhenu D- ny . Kuti bhedhenu kupetenuka kwechinhu changa chakavharwa.
bheu 	DK 		ny 		bheu DK ny . Kuti bheu kupidiguka kwechinhu.
bhimhu 	KD 		ny 		bhimhu KD ny . Kuti bhimhu kurova kumusana nechibhakera.
bhu 	D 		ny 		bhu D ny . Kuti bhu kudhuuka kwechinhu.
bhu 	K- 		ny 		bhu K- ny . Kuti bhu kuburitsa mweya nemukanwa nekumashure zvinoita ruzha.
bhu bhu 	D- 		ny 		bhu bhu D- ny . Kuti bhu bhu kutsenga zvinhu zvakaoma zvakaita semaputi.
bhu bhu bhu 	K- 		ny 		bhu bhu bhu K- ny . Kuti bhu bhu bhu kuuchira maoko zvine rukudzo mukati.
bhu-u 	K- 		ny 		bhu-u K- ny . Kuti bhu-u kubudisa mweya nokumashure zvine ruzha. Ndianiko ati bhu-u anoda kutinhuhwidza tichidya? bhu .
