zvimbokoma 	D- 	8 	z 		zvimbokoma D- z 8 . Uku kurwa kunenge kuchiita vanhu vachikandana zvibhakera.
zvinyairaduri 	DDDDDK 	8 	z 		zvinyairaduri DDDDDK z 8 . Izvi zvimisodzi zvinobuda ari madonhwe madiki, mashoma.
zvipusha 	D- 	8 	z 		zvipusha D- z 8 . Zvipusha kurwara kwekuti munhu anoputsika asisazivi zvaari, achiomarara muviri nekuda kutsenga rurimi rwake. tsviyo 9, pfari 9 .
zvitambo 	DKK 	8 	z 		zvitambo DKK z 8 . Kana musikana achinzi pane zvitambo zvomusikana, anenge akanaka chaizvo.
zvitokwani 	DDDK 	8 	z 		zvitokwani DDDK z 8 . chidhoma 7 .
zviyo 	DK 	8 	z 		zviyo DK z 8 . Zviyo zvirimwa zvidikidiki zvitsvuku zvakaurungana, zvinoshandiswa kubika doro kana sadza. rukweza 11 .
zvombo 	DK 	8 	z 		zvombo DK z 8 . Zvombo midziyo inoshandiswa pakurwa kana pabasa.
ukomana 	DKDK 	4 	z 		ukomana DKDK z 4 . Iyi inguva yekunge munhurume asati ava saimba. ANTONYMS usikana 14. Iyi inguva yekunge munhurume asati aziva vakadzi.
bandachakata 	D- 	9 	z 		bandachakata D- z 9 . huriti 14 .
betsero 	KKD 	9 	z 		betsero batsiro KKD z 9 . Betsero ruyamuro runopihwa munhu nevamwe pane dambudziko rinenge ramuwira. Pakafa mukadzi wake akapiwa betsero yemari nevadikanwi.
bhingo 	KD 	9 	z 		bhingo KD z 9 . Bhingo rumuti runoshandiswa nevanhu vakazvisungirira, kunyanya vachembera kana vanorwara pakufamba.
bhiti 	KD 	9 	z 		bhiti KD z 9 . Bhiti kukasika kana kunonoka kungaitwe nevanhu pakuimba.
bhitumini 	KDDD 	9 	z 		bhitumini KDDD z 9 . Izvi zviupfu zvitema zvinoshandiswa pakugadzira migwagwa.
bodzi 	KD 	9 	z 		bodzi KD z 9 . Bodzi chinhu chimwe chete kana chinhu chinoitika kamwe chete. Gore rino rese akaendako kabodzi. motsi 9, potsi 9 .
budiriro 	KKKD 	9 	z 		budiriro KKKD z 9 . Uku kufamba negwara sekurongwa kunenge kwakaita zvinhu.
bvumbunuro 	D- 	9 	z 		bvumbunuro D- z 9 . Uhwu unyanzwi hunokatyamadza hwekugona kufembera.
bvumirano 	D 	9 	z 		bvumirano D z 9 . Uku kuita tsidzirano kwavanhu. Takaita bvumirano yekuti aizondivakira imba yangu ini ndichimupa chiuru chemadhora.
