aini 	KDD 	9>10 	z 		aini KDD z 9>10 . Aini isimbi yokuchisisa mbatya inodziyiswa uchishandisa maratya kana magetsi. Hembe dzinoita mupono kana ukadzichisa neaini.
aizi 	KDD 	9>10 	z 		aizi aisi KDD z 9>10 . Aizi magodo echando chakagwamba.
aizikirimu 	KDDDDD 	9>10 	z 		aizikirimu aisikirimu KDDDDD z 9>10 . Uku kudya kunogadzirwa nemukaka kana muto wemichero zvakaitwa kugwambiswa nechando.
akaundi 	DKDD 	9>10 	z 		akaundi DKDD z 9>10 . Ichi chikwereti chokubhadhara pamwedzi woga woga mushure mokutenge watotengeserwa mudziyo kana kuti wagadzirirwa midziyo yako. Ndatenga chitofu ichi nhasi asi ndichatora mwedzi misere ndichibhadhara akaundi yacho. Kana munhu aine akaundi kubhengi anenge akachengetesa mari yake ikoko achipota achindotora paanenge ava kuida. Akaundi yangu yokubhengi iri haichina mari.
akaunzi 	DKDD 	9>10 	z 		akaunzi DKDD z 9>10 . Akaunzi chidzidzo chokutamba samhu dzemari nokuironga. Kuchikoro vari kuita akaunzi, saka zvinovabatsira kubhizinesi ravo.
amburenzi 	KDDD 	9>10 	z 		amburenzi KDDD z 9>10 . Iyi imotokari inoshandiswa kutakura varwere kana kuti vanhu vakuvara kuenda kuchipatara.
amburera 	KDKD 	9>10 	z 		amburera samburera, sambureni KDKD z 9>10 . Aka kamudziyo kanobhebheuka kuita katenga kanoshandiswa kudzivirira mvura kana zuva munhu achifamba.
arawuru 	DDKD 	9>10 	z 		arawuru DDKD z 9>10 . Uyu mutambo unowanzotambwa nevana, mazuva emvura pasi pari panyoro, wavanenge vachikava kadombo mumabhokisi avanenge vakatara pasi.
atare 	KDD 	9>10 	z 		atare aritari KDD z 9>10 . Atare itebhuru inoshandiswa muchechi kupira muteuro kuna Mwari.
bheriya 	KKD 	9>10 	z 		bheriya KKD z 9>10 . Bheriya musangano wekuti nhengo dzinoisa mari muhomwe imwe chete kuitira kuzobatsirika kana mumwe afirwa kana kuti imwe yenhengo yafa.
bhobhini 	KDD 	9>10 	z 		bhobhini KDD z 9>10 . Bhobhini kasimbi kanomonererwa shinda yekusonesa inenge iri pamushini wekusonesa.
bhodhi 	DK 	9>10 	z 		bhodhi DK z 9>10 . Bhodhi inhumbi inobata mazamu emunhukadzi.
bhutsu 	KD 	9>10 	z 		bhutsu KD z 9>10 . Bhutsu chipfeko chemutsoka chinogadzirwa nedehwe kana mimwewo micheka.
bvenge 	DK 	9>10 	z 		bvenge DK z 9>10 . Bvenge vanhu vakaungana pamwe chete, vari varume nevakadzi, kana kuti vakuru nevadiki.
bvumbi 	DK 	9>10 	z 		bvumbi DK z 9>10 . Bvumbi inyoka yakasvibira yakafanana nechiva ine uturu chaizvo.
bvumbo 	D- 	9>10 	z 		bvumbo D- z 9>10 . Bvumbo unyanzwi hwekufembera kana un'anga hunokatyamadza. mabvumbo 6 .
bvunzo 	D- 	9>10 	z 		bvunzo vhunzo D- z 9>10 . Bvunzo inzira inoshandiswa kupima ruzivo rwemudzidzi achipindura mibvunzo iri maererano nezvaakadzidza. zamanishoni 5 .
bwiraufu 	D- 	9>10 	z 		bwiraufu D- z 9>10 . Iyi imhuka yakada kufanana nemhembwe, asi yakakura kupfura mhembwe, uye ine nyanga refu dzakamonyana. mharapara 9 .
chachacha 	K- 	9>10 	z 		chachacha K- z 9>10 . Chachacha ndemamwe madzanire engoma. Takatambirwa chachacha nezvigure. Chachacha kuva munhu asina tsika dzakanaka. Munhu ane tsika dzouhure anotorwa sechachacha.
chadenga 	DKD 	9>10 	z 		chadenga DKD z 9>10 . Chadenga inzvimbo yakakwirira zvikuru kunowanza kubhururukira chapungu kana ndege dzinoenda nzendo ndefu.
chajihofisi 	KDKDD 	9>10 	z 		chajihofisi KDKDD z 9>10 . Uyu muzinda wemapurisa. Ndandomhan'ara nyaya yokubirwa kwangu kuchajihofisi.
chakata 	D- 	9>10 	z 		chakata D- z 9>10 . Chakata muchero unoita mhodzi imwe ine shomwe mukati. hacha 9, .
