chamateya 	DKDD 	1 	z 		chamateya DKDD z 1 . Uyu munhu ane makumbo akakombamira mukati. nyamateya 1a .
chamatumba 	KDKK 	1 	z 		chamatumba KDKK z 1 . Uyu munhu kana mhuka yakakora chaizvo, inorataridza kuti ine mafuta akawanda mumuviri mayo. Vavhimi vakauraya chamatumba chenhoro vakabva vadzokera kumisha vachitekaira nenyama.
mubanzi 	DKD 	1 	z 		mubanzi DKD z 1 . Mubanzi munhu waunogara pedyo naye. muvakidzani 1 .
mubare 	DKD 	1 	z 		mubare DKD z 1 . Mubare munhu waunonzwanana naye nekufarira kuva naye. Anogara achifamba nemubare wake nguva dzose dzose. shamwari 9 .
mubari 	DKK 	1 	z 		mubari DKK z 1 . mubereki 3 .
mubasa 	DDK 	1 	z 		mubasa DDK z 1 . Mubasa munhu anoshanda nesimba uye nemwoyo wose. ANTONYMS nyope 9.
mubati 	DKK 	1 	z 		mubati DKK z 1 . Mubati munhu anosevenza pamwe panhu. mushandi 1, musevenzi 1 .
mubati wechigaro 	DKK DKDD 	1 	z 		mubati wechigaro DKK DKDD z 1 . Uyu munhu anotungamirira musangano. sachigaro 1a .
mubatidzi 	DKKD 	1 	z 		mubatidzi DKKD z 1 . Uyu munhu anoperekedza muchato. Uyu munhu anobatsira mumwe, kazhinji pakuita basa. Uyu munhu anobatsira fata kana achipinza svondo.
mubereki 	D- 	1 	z 		mubereki D- z 1 . Mubereki ndimai kana baba vanyamunhu vese vese.
mubinyi 	D- 	1 	z 		mubinyi D- z 1 . Mubinyi munhu anoba panzvimbo yaanoshanda. dzvotsvo 9, nhosi 9 .
mubiyangu 	DKKK 	1 	z 		mubiyangu DKKK z 1 . Iri izwi rinoshandiswa nemunhu kana achitaura kuti munhu waari kutaura nezvake ishamwari yake.
mubozhi 	D- 	1 	z 		mubozhi D- z 1 . Mubozhi munhu ane rombo rakanaka.
mubvandiripo 	DDKDK 	1 	z 		mubvandiripo DDKDK z 1 . Uyu mwana wemukadzi waanouya naye paanoroorwa nemumwe murume, asi asiri wababa ivavo.
mubvuvi 	D- 	1 	z 		mubvuvi mubvuwi D- z 1 . Mubvuvi munhu anoredza achishandisa mambure. Mubvuvi munhu anoparidzira vamwe shoko raMwari.
muchairi 	D- 	1 	z 		muchairi mutyairi D- z 1 . Uyu ndeanodhiraivha mota kana bhazi, kana kufambisa mombe pakurima.
muchakazi 	D- 	1 	z 		muchakazi D- z 1 . Uyu mukadzi kana murume anoperekedza vanenge vachichata. muperekedzi 1, mubatidzi 1 .
muchapi 	D- 	1 	z 		muchapi D- z 1 . Muchapi munhu anokwasva mvura achichaira igwa.
muchati 	D- 	1 	z 		muchati D- z 1 . Muchati ndeumwe wevaviri vanobatanidzwa kuti vave mukadzi nemurume.
mucheche 	D- 	1 	z 		mucheche D- z 1 . Mucheche mwana achangosunungukwa.
muchedzi 	D- 	1 	z 		muchedzi D- z 1 . Muchedzi munhu anochengeta zvipfuyo. mufudzi 1 .
muchembere 	D- 	1 	z 		muchembere D- z 1 . Uyu mudzimai akwegura.
muchena 	D- 	1 	z 		muchena D- z 1 . Muchena munhu murombo asina kana chii zvacho chaainacho. murombo 9 . Muchena munhu ane ganda risina kufanana nerevatema, ane madziteteguru akabva kuEurope. murungu 3 .
muchengeti 	D- 	1 	z 		muchengeti D- z 1 . Uyu munhu anoriritira munhu mumwe chete kana vakawanda.
muchenjeri 	DKKD 	1 	z 		muchenjeri DKKD z 1 . Uyu munhu anoshandisa pfungwa dzake munzira dzinovaka, uye anoziva zvaanoita nezvaanotaura. mungwaru 1 .
mucheri 	D- 	1 	z 		mucheri D- z 1 . Mucheri munhu anotengesa vamwe, achiburitsa zvavanenge vasingadi kuti zvizivikanwe.
muchochori 	D- 	1 	z 		muchochori D- z 1 . Uyu munhu anochiva zvinhu zvavamwe kuti dai zvaita zvake.
muchoni 	D- 	1 	z 		muchoni D- z 1 . Muchoni munhu anoti kana aenda kwaaenda orovera ikoko, haachadzoki kumusha kune hama nemhuri.
mudaidziri 	DKKKD 	1 	z 		mudaidziri DKKKD z 1 . Uyu munhu anenge achishaura panhu pakaita sepamuchato, achitaurira vamwe zvipo zvakandwa. musheedzeri 1, shaudha 1a .
mudetembedzi 	DKKKD 	1 	z 		mudetembedzi DKKKD z 1 . mudetembi 1 .
mudetembi 	DKKD 	1 	z 		mudetembi DKKD z 1 . Uyu munhu anotaura kana kunyora nhetembo. mudetembedzi 3 .
mudhen'a 	D- 	1 	z 		mudhen'a D- z 1 . Mudhen'a munhu anoita basa rinotarisirwa pasi nevazhinji rakaita sokugeza zvimbuzi. Vanamudhen'a vakaramwa mabasa, madhorobha haangagarike netsvina.
mudhibhisi 	DKKD 	1 	z 		mudhibhisi DKKD z 1 . Uyu munhu anoita basa rekudhigidhisa mombe mumvura ine mushonga, kuti dzibve zvishambwe.
mudikanwi 	DKKD 	1 	z 		mudikanwi mudikani DKKD z 1 . Uyu munhu anenge achifarirwa, ari pamwoyo peanenge achitaura. Ndikafunga mudikani wangu Simba, handirare. mudiwa 1, chidochemwoyo 1a .
mudiwa 	DKD 	1 	z 		mudiwa DKD z 1 . Mudiwa munhu anofarirwa zvekuti ari pamwoyo pemunhu anenge achitaura. mudikanwi 1, mudikani 1, chidochemwoyo 1a .
mudukutu 	DKKD 	1 	z 		mudukutu DKKD z 1 . Uyu mukadzi mukuru paguru. vahosi 1a .
mudyidzani 	DKKD 	1 	z 		mudyidzani DKKD z 1 . mufambidzani 1 .
mudzani 	D- 	1 	z 		mudzani D- z 1 . Uyu munhu anotamba zvokutsindinyura pasi chaizvo.
mudzidzi 	DKD 	1 	z 		mudzidzi DKD z 1 . Mudzidzi munhu anenge ari pachikoro achirairwa pamusoro pezvinhu zvakasiyana-siyana. mufundi 1 .
mudzidzisi 	DKKD 	1 	z 		mudzidzisi DKKD z 1 . Uyu munhu anenge achiraya vamwe pamusoro pezvinhu zvakasiyana-siyana. mufundisi 1, murairidzi 1 .
mudzimba 	D- 	1 	z 		mudzimba D- z 1 . Mudzimba munhu anoita basa rekuvhima mhuka musango, achigara akaunza nyama yemhuka dzakasiyana-siyana kumba. Mumba memudzimba hamubvunzwe nyama.
mudzimu 	DKK 	1 	z 		mudzimu DKK z 1 . Mudzimu mweya wemunhu mukuru akafa, unotenderwa nevanhu vazhinji kuti unochengeta mhuri kana kurangawo vanenge vabuda mugwara.
mueni 	D- 	1 	z 		mueni mweni D- z 1 . Mueni munhu anenge ashanya pamba pevamwe. muenzi 1 .
muenzanisi 	D- 	1 	z 		muenzanisi muenzanise D- z 1 . Uyu munhu anogadzirisa vanhu vanenge vane nyaya dzekukonana.
muenzi 	DDK 	1 	z 		muenzi mueni, mweni DDK z 1 . mueni 3 .
mufakazi 	D- 	1 	z 		mufakazi mupfakazi D- z 1 . Uyu munhu anotsanangura zvinenge zvaitika, achipa umboo. mupupuri 3, fakazi 9 .
mufambidzani 	DKKKD 	1 	z 		mufambidzani DKKKD z 1 . Iyi ishamwari yepamwoyo, yaunotamba nayo mazuva ese.
mufana 	DKD 	1 	z 		mufana DKD z 1 . munin'ina 1 .
mufarikani 	DKKKD 	1 	z 		mufarikani DKKKD z 1 . Uyu munhu asina munhu waanovenga, anofarira munhu wese.
mufemberi 	DKKD 	1 	z 		mufemberi DKKD z 1 . Uyu munhu anoudza vamwe zvinhu zvichaitika panguva inotevera.
mufevi 	D- 	1 	z 		mufevi D- z 1 . Mufevi munhu anoita zvoupfambi nemamwe, basa ese akaipa. chifeve 7 .
mufeyi 	DKK 	1 	z 		mufeyi DKK z 1 . Mufeyi munhu anotsvaga-tsvaga umboo hwakakwana panyaya inenge iri kunetsa. mutikitivha 1 .
mufi 	DK 	1 	z 		mufi DK z 1 . Mufi munhu anenge ashayika. ANTONYMS mupenyu 1.
mufirwi 	DKK 	1 	z 		mufirwi DKK z 1 . Uyu munhu anenge ashayikirwa nehama.
mufudzi 	D- 	1 	z 		mufudzi D- z 1 . Mufudzi munhu anoendesa zvipfuyo kumafuro nekuzvichengetedza. murisi 1 .
mufundi 	DKK 	1 	z 		mufundi DKK z 1 . mudzidzi 1 .
mufundisi 	DKKD 	1 	z 		mufundisi DKKD z 1 . mudzidzisi 1 . Uyu munhu anoparidzira vanhu zvechitendero kana kuti vhangeri raMwari. muvhangeri 1 .
mugari 	D- 	1 	z 		mugari D- z 1 . Mugari munhu anenge ari chidza chenzvimbo iyoyo. Mugari wemudhorobha anonzwika nekusanganisa mitauro.
mugariwenhaka 	DDDDKD 	1 	z 		mugariwenhaka DDDDKD z 1 . Uyu munhu anosarudzwa kuti asare achichengeta mhuri nepfuma zvemukoma, munin'ina kana hanzvadzikomana inenge yashaya.
mugayisi 	DKKD/D- 	1 	z 		mugayisi DKKD/D- z 1 . Mugayisi munhu anokuyira vanhu mbesa dzavo mumuchina.
mugoni 	D- 	1 	z 		mugoni D- z 1 . Mugoni munhu anoziva zvimwe zvinhu zvinenge zvichitaurwa pamusoro pazvo. muzivi 1 . Mugoni munhu waunoyemura, ane mhanza yakanaka. Mugoni zvake Shuvai, akahwina mabhiza.
muimbi 	DKK 	1 	z 		muimbi DKK z 1 . Muimbi munhu anoita basa rekuimba.
mujana 	DDK 	1 	z 		mujana DDK z 1 . Mujana munhu anenge aine dzoro remombe zuva iroro.
mukadzi 	DKK 	1 	z 		mukadzi DKK z 1 . Mukadzi munhu anogona kukwanisa kuumba mwana mudumbu make, uye ane mazamu anogona kuyamwisa mwana uyu. Mukadzi wemunhu ndiye anenge akaroorwa, ari amai vemba yake yaanochengeta zvese nemhuri.
