dzamachechetere 	KKKDDD 	10 	z 		dzamachechetere KKKDDD z 10 . Aya maitiro ejongwe okuzarura bapiro raro, richirinzvenzveresa pagumbo richitenderera sheche kana mhambo.
hanganwa 	KDK 	10 	z 		hanganwa KDK z 10 . Hanganwa ipfungwa dzemunhu asingakwanisi kurangarira zvaanenge adzidza, kurayirwa, kuona kana kutumwa. Vamwe vanhu vane hanganwa dzokusvika pakutsvaka chinhu chavakabata mumaoko.
hasha 	K- 	10 	z 		hasha K- z 10 . Hasha ishungu dzinoitisa kuti munhu agare achipopota kana kuda kurwa kana kurova vamwe. Ukava munhu wehasha unogara uine mbonje dzokurohwa. ukungu 14, nharo 10 .
hope 	K- 	10 	z 		hope K- z 10 . Hope kunzwa kuda kukotsira kunoita munhu kana oda kuzorodza pfungwa nomuviri.
hova 	D- 	10 	z 		hova D- z 10 . Hova migero kana nzizi diki dzinoerera mvura ichindopinda munzizi huru. nzizi 10, ndwizi 10 .
hukwe 	KD 	10 	z 		hukwe KD z 10 . Hukwe itsanga dzakatsemurwa dzikabatanidzwa nemikosi, dzinozoshandiswa pakuwaridza kuti vanhu vagare kana kurara. mhasa 10, maponde 6 .
hwusha 	K- 	10 	z 		hwusha K- z 10 . Hwusha chipfeko chomukati chomukadzi chinotenderedza chakabata zvakasimba muchiuno. rukusha 11 .
kechemu 	KKD 	10 	z 		kechemu KKD z 10 . Kechemu icheni dzinokiyiwa, dzinosevenzeswa nemapurisa kusunga maoko evabatwa. simbi 10 .
mbatya 	D- 	10 	z 		mbatya D- z 10 . Mbatya ihembe dzekupfeka. hanzu 10 .
mbesa 	KD 	10 	z 		mbesa mbeswa KD z 10 . Izvi zvirimwa zvakasiyana-siyana. Kana mvura ikanaya, mbesa dzinoita kwazvo. mbesanwa 10, mbeu 9 .
mbesanwa 	K- 	10 	z 		mbesanwa K- z 10 . mbesa 10 .
mbiradzakondo 	DDKDD 	10 	z 		mbiradzakondo DDKDD z 10 . Uku kusungwa kunoitwa munhu makumbo nemaoko, zvekuti anenge asisagone kana kutsukunyuka.
mbovha 	D- 	10 	z 		mbovha D- z 10 . Mbovha masiriri anobuda mumuromo wakavata, anochena kana aoma. Geza kumeso, kune mbovha. mbowowo 10 .
mbowowo 	DKD 	10 	z 		mbowowo DKD z 10 . mbovha 10 .
mhupu 	DK 	10 	z 		mhupu DK z 10 . Mhupu kutaura kana kuita zvinenge zvauya mupfungwa, usina kunyatsozvizeya.
