gwaronhau 	DDDK 	11 	z 		gwaronhau DDDK z 11 . Iri ibepa rinenge rakanyorwa nhau dzakasiyana-siyana asi iro risingabudi mazuva ese kana kuti pasvondo sepepanhau.
rubato 	DKK 	11 	z 		rubato DKK z 11 . Rubato ndechaunopa kuti chimbofanobatwa uchitsvaka mubhadharo, chaunozotora kana wabhadhara. Rubato chipo chaunopa kumudiwa wako sechiratidzo cherudo rwako. nduma 9, nhumbi 9 .
rubhapatidzo 	DKKKD 	11 	z 		rubhapatidzo DKKKD z 11 . Uku kunyika munhu mumvura kunoitwa nemupristi kuratidza kuti ava kutevera zvechiKristu. ruombeko 11 .
rubo 	DK 	11 	z 		rubo DK z 11 . Rubo itsika yekutora zvausina kupihwa.
ruboshwe 	DDK 	11 	Z 		ruboshwe DDK Z 11 . Ruboshwe ruoko rusiri rwerudyi. boshe 5, muzere 11 . ANTONYMS rudyi 11.
rubvumo 	D- 	11 	z 		rubvumo D- z 11 . Rubvumo kubvisa zvingaita semari, kuri kuratidza kuti watenda mhosva yawakapara. Rubvumo kutaura wega zvawakakanganisa, uchitsvaka kuregererwa.
rubvunzavaeni 	D- 	11 	z 		rubvunzavaeni D- z 11 . Iyi inguva inenge ichangovira zuva, kwasviba zvishoma. mazeruza 6, ruvhunzavaeni 11 .
rubvunzo 	D- 	11 	z 		rubvunzo D- z 11 . Rubvunzo chinhanho chekutanga-tanga muurongwa hunozosvika pakuwanana kwemukomana nemusikana.
ruchamiro 	D- 	11 	z 		ruchamiro D- z 11 . Iyi ipfungwa yokushingirira kusvika pakubudirira pane zvaunovavarira.
ruchemera 	DKKD 	11 	z 		ruchemera DKKD z 11 . Uyu mwana ana mai vakashaya panguva yokumupona.
ruchenesamwoyo 	D- 	11 	z 		ruchenesamwoyo D- z 11 . Ichi chipo chidiki chaunopa mudiwa wako kuti afare.
ruchengera 	D- 	11 	z 		ruchengera D- z 11 . Uku kunyanya kuchengetedza murume kana mukadzi, kunoshaisa mumwe wako mufaro, pari pamusana pokutya kutorerwa. Ane ruchengera zvokuti haadi kuona mukadzi wake achitaura nemunhurume, kana upi zvake.
ruchiva 	DKD 	11 	z 		ruchiva ruchivo DKD z 11 . Ruchiva ipfungwa yekuda kuti chomumwe dai chava chako.
ruchiva 	DKK 	11 	z 		ruchiva DKK z 11 . ruziso 11 .
rudano 	DKK 	11 	z 		rudano DKK z 11 . Rudano itsika yekungoramba uchisheedza nekutuma, vamwe iwe wakagara.
rudembera 	DKKK 	11 	z 		rudembera DKKK z 11 . Iyi itsika yokuda kunzwirwa urombo, uchitaurira vanhu matambudziko ako.
rudhonga 	DDK 	11 	z 		rudhonga DDK z 11 . Rudhonga inzvimbo inenge yakacherwa kuti mugwagwa kana raruwe ipfuure nepo. Rudhonga igomba refu, dete, rakadzika rinocherwa nemvura inoyerera.
rudididi 	D- 	11 	z 		rudididi D- z 11 . Iyi itsika yekuramba uchingoenda kune imwe nzvimbo nguva zhinji. Uku kushayikwa kwechokunwa vanhu vachichida.
rudo 	DK 	11 	z 		rudo DK z 11 . Rudo mwoyo unofarira mumwe, paine ushamwari hwakakomba. Rudo ukama huripo pakati pemukadzi nemurume, kana musikana nemukomana, zvinovaita kuti vade kugara vese.
rudyi 	DK 	11 	z 		rudyi DK z 11 . Rudyi ruoko rusiri ruboshwe, runodyisa sadza pachivanhu. ANTONYMS ruboshwe 11.
rudzingo 	DKK 	11 	z 		rudzingo DKK z 11 . Rudzingo chitambo chinenge shinda, chinobva papfunha dzomuswe wemombe kana imwewo mhuka. Rudzingo itsika yokungoti napo napo wadzinga vanhu, pangave pabasa kana pamba.
rudziviriro 	D- 	11 	z 		rudziviriro D- z 11 . Izvi ndezvinoshandiswa kuti usawire mupfumvu yokurwara kana imwewo tsaona.
