chiuno 	DKK 	3 	z 		chiuno DKK z 3 . Chiuno inzvimbo yomuviri womunhu yakadzvinyingikira mukati, panobatana hudyu, dumbu nemusana. Chiuno chinobatsira kuti kana munhu apfeka bhurugwa risadonha. Chiuno itsika yomunhurume anenge achinyanya kuda kurara nevakadzi. Iwe shamwari, uchasiya watiparira mhosva, nechiuno chako ichocho.
matewunhewu 	DKDKD 	3 	z 		matewunhewu DKDKD z 3 . Uku kunwa kwakaita semaheu kana doro kunenge kwakawandisa.
mavhai 	DDK 	3 	z 		mavhai muvhai DDK z 3 . Mavhai kuzadzwa nomufaro wakawandisa.
mhumhu 	DK 	3 	z 		mhumhu DK z 3 . Mhumhu kukura kwemuviri wemunhu. Chenai ane mhumhu mukuru chaizvo, zvekuti anotoita kunge mhandara iye ari mwana wazuro chaiye. mumhu 3 .
mongo 	DK 	3 	z 		mongo DK z 3 . Mongo mafuta anowanikwa mukati memabhonzo. mwongo 9 .
moto 	DK 	3 	z 		moto DK z 3 . Moto kubvira kwehuni kana sora kana marasha. mwoto 3 .
muapirikoti 	DKDDDD 	3 	z 		muapirikoti DKDDDD z 3 . Uyu muti unobereka vana vanonzi maapirikoti, vadiki vakatenderera vanodyiwa.
mubaba 	DDK 	3 	z 		mubaba DDK z 3 . mutukutu 3 .
mubatanidzwa 	DKKDK 	3 	z 		mubatanidzwa DKKDK z 3 . Iri isangano guru rine masangano madiki mauri, kana kuti vanhu vanomirira nyaya dzakasiyana-siyana. Uku kunyora mavara akatsikirirana, ari pedyo nepedyo.
mubatiranwa 	DKKKK 	3 	z 		mubatiranwa DKKKK z 3 . Kana munhu akaitwa mubatiranwa anenge achitakurwa kana kuchengetwa nevanhu vakawanda nekuti anorwara kana kuti ane hasha anoda zvekurwa.
mubatirapamwe 	DKKDKK 	3 	z 		mubatirapamwe DKKDKK z 3 . Uku kusevenza pamwe chete kwevanhu vakawanda, pamabasa akaita sekurima nekusona. mushandirapamwe 3, humwe 9, hoka 9 .
mubato 	DKK 	3 	z 		mubato DKK z 3 . Mubato chihochekero kana chimupon'oro chiri pamidziyo, chinoshandiswa kuitakurisa. Mubato wepoto iyoyo uchiri kupisa. Ubate nemucheka.
mubayamhondoro 	D- 	3 	z 		mubayamhondoro D- z 3 . Uyu muti une minzwa yakareba zvikuru, unogona kuita pamusoro pakati chechetere. muunga 3 .
mubayanzou 	D- 	3 	z 		mubayanzou mubayazhou D- z 3 . Urwu rudzi rwemuti une minzwa inokura chaizvo.
