apuro 	KDD 	5 	z 		apuro epuro KDD z 5 . Apuro rudzi rwemuchero unoberekwa nemuapuro.
badza 	DK 	5 	z 		badza DK z 5 . Badza mudziyo wokurimisa unogadzirwa nesimbi yakapfekerwa mumupinyi unoshandiswa pakusakura. Badza igejo rekurimisa nemombe kana mbongoro dzakasungwa. Badza imari inoripwa padare nanyakumhan'ara kuti mhosva yake itongwe.
bahwe 	KD 	5 	z 		bahwe KD z 5 . chibage 7 .
bakapaka 	D- 	5 	z 		bakapaka D- z 5 . chipatapata 7 .
bakatwa 	K- 	5 	z 		bakatwa K- z 5 . Bakatwa zibanga ziguru rinocheka nekwese kazhinji rinogara mumuhara.
bakayawo 	DDKD 	5 	z 		bakayawo DDKD z 5 . Iyi ihove hombe yakaomeswa yatsemurwa nepakati yoiswa munyu wakawanda kwazvo kuti isaore.
bamba 	K- 	5 	z 		bamba K- z 5 . Kuva ne bamba kuita tsika yokutora zvavamwe nomukundo.
bambomukota 	DDDDK 	5 	z 		bambomukota bambamukota DDDDK z 5 . Urwu rudzi rwemhashu ina mapapiro matsvuku inobhururuka iri mudenga uye ichindomhara kure.
bamburo 	K- 	5 	z 		bamburo K- z 5 . Bamburo imari inotaurwa natezvara yokuripisa mukwasha achiroora.
banamhana 	D- 	5 	z 		banamhana D- z 5 . Ichi chinhu chakapafarara. Pazvarwa mwana ane banamhana romusoro.
bandakadzi 	D- 	5 	z 		bandakadzi D- z 5 . muranda 1 .
bandapakukutu 	DDDKKK 	5 	z 		bandapakukutu DDDKKK z 5 . Uhwu hwowa hwunomera pachuru nemvura yokutanga. uzvutwe 14 .
bande 	DK 	5 	z 		bande DK z 5 . Bande idivi rimwe rezvakaita senzungu kana nyimo zvakatsemurwa nepakati.
bandiko 	D- 	5 	z 		bandiko D- z 5 . Bandiko inyama inogoverwa munhu woga woga anenge abatsira pakuuraya n'ombe kana imwewo mhuka.
bandupandu 	DKDD 	5 	z 		bandupandu DKDD z 5 . Iyi ishumba inodya vanhu.
bangamukaka 	D- 	5 	z 		bangamukaka D- z 5 . Uku kusuwa mukaka sezvinoitwa nekarusvava kafirwa namai.
banganwa 	DKD 	5 	z 		banganwa DKD z 5 . Banganwa izano kana kuti chinhu chawiriranwa kuitwa.
bangara 	D- 	5 	z 		bangara D- z 5 . nyevhe 9 .
bango 	D- 	5 	z 		bango D- z 5 . Bango idanda rinoshandiswa sezvakaita kuvakisa imba kana danga.
banho 	D 	5 	z 		banho D z 5 . nhekwe 9 .
banya 	KD 	5 	z 		banya KD z 5 . Banya rudzi rwembeva huru inogara mumakura.
banzu 	DK 	5 	z 		banzu DK z 5 . Banzu rumuti runenge rwatsemurwa nepakati.
banzurwa 	DKD 	5 	z 		banzurwa DKD z 5 . Banzurwa chidimu chemuti chinenge chakwaturwa kubva pane chimwe. banzu 5 .
bapatyuro 	KKKD 	5 	z 		bapatyuro KKKD z 5 . Iyi ishumba inodya vanhu.
bara 	KD 	5 	z 		bara KD z 5 . Bara chisimbi chakaurungana chinobuda mukasha yepfuti chichinobaya wacho anenge achipfurwa. mbumburu 9 .
baradzamusasa 	D- 	5 	z 		baradzamusasa D- z 5 . Iyi ihari yehwahwa yokupedzisira inonwiwa vanhu voparadzana kuenda kudzimba.
baradzanwa 	DDKD 	5 	z 		baradzanwa DDKD z 5 . Uku kutsaukana kwenzira dzanga dziri mugwagwa mumwe chete.
bararamhanya 	DDDKK 	5 	z 		bararamhanya DDDKK z 5 . Uku kumhanya muchitizira mativi ose kuti mwanda sezvinoita vanhu vanenge vavhundutswa.
barika 	KKD 	5 	z 		barika KKD z 5 . Barika imhuri yemurume ane vakadzi vaviri kana kupfuura.
barwe 	KD 	5 	z 		barwe KD z 5 . chibage 7 .
basa 	D- 	5 	z 		basa D- z 5 . Basa kusevenza uchishandisa pfungwa nenhengo dzomuviri kuita zvinokubhadhara kana zvinokubatsira muhupenyu.
batapata 	D- 	5 	z 		batapata D- z 5 . Uku kuitwa kwezvinhu zvakasiyana nokukurumidza.
batsavatsi 	D- 	5 	z 		batsavatsi D- z 5 . Aya maruvhuruvhu anowanikwa mukati mechuru kana kuti chidhunduru munenge muine zimai rechuru.
beferere 	D- 	5 	z 		beferere D- z 5 . Kana mbeswa iri beferere inenge ichitefa kuratidza kuti haina kunyatsa kusvika.
befu 	DK 	5 	z 		befu DK z 5 . Kutura befu kufema mweya musure mokunge munhu asununguka pabasa guru raanga achiita.
bembenene 	D- 	5 	z 		bembenene D- z 5 . Urwu rudzi rwechimbuyu chine mapapiro makuru,chinogona kuva mamavara mavara dzimwe nguva.
bembero 	KKD 	5 	z 		bembero KKD z 5 . Bembero chipo chinobviswa kupa vanhu vane mutambo wekufarira chimwe chinhu.
bembwe 	D- 	5 	z 		bembwe D- z 5 . mhembwe 9 .
bemheno 	DKD 	5 	z 		bemheno DKD z 5 . Bemheno kutema nekubvisa tusanzu padanda raunenge uchida kuzoshandisa.
bemhenwa 	DKD 	5 	z 		bemhenwa DKD z 5 . Bemhenwa muti wakatemwa unenge wabviswa mapazi awo. Bemhenwa inzvimbo inenge yakatemwa miti sezvinoitwa kana panhu pachida kuzorimwa.
bengo 	K- 	5 	z 		bengo K- z 5 . benzi 5 .
benyapenya 	D- 	5 	z 		benyapenya D- z 5 . Ichi chinhu kana munhu asina zvaanotarisirwa kuti angabatsira nazvo.
benyera 	D- 	5 	z 		benyera D- z 5 . Benyera chinyavada chihombe chinondurira nekumashure.
benyumundiro 	DKDDD 	5 	z 		benyumundiro DKDDD z 5 . Uyu munhu anoratidza kurwara kana usimbe pabasa asi wozopangidza kumuka nekugwinya kana yava nguwa yekudya.
benzva 	D- 	5 	z 		benzva D- z 5 . Benzva imbudzi hadzi yakamboita vana. Benzva imbudzi inourayiwa pachenuro yomunhu anenge aiitiswa pamuviri pokutanaga nechikomba kana kuti nomurume womunhu.
bepe 	D- 	5 	z 		bepe D- z 5 . Bepe indebvu dzakareba.
bepepe 	D- 	5 	z 		bepepe D- z 5 . Bepepe indebvu dzepachirebvu dzakareba.
bepo 	KD 	5 	z 		bepo KD z 5 . Bepo izwi rinopihwa kumhepo yakawanda uye yakasimba. Mhepo yacho rakanga riri bepo chairo, zvekuti yakasiya yatyoranisa miti.
bepu 	DK 	5 	z 		bepu bapu DK z 5 . Munhu ane bepu munhu anoita zvinhu zvekuvhundukira.
bereko 	D- 	5 	z 		bereko D- z 5 . Bereko mutambo unoitirwa musikana nevabereki vake paanenge ava kuroorwa kufarira kuzondozvara vana kwaanenge ava kuzoita.
berepere 	D- 	5 	z 		berepere D- z 5 . Kana hembe ichinzi yakaita berepere inenge iine ruvara rwakasvibira.
berepeshwa 	KKDK 	5 	z 		berepeshwa betepeswa KKDK z 5 . Aka kapuka kane mapapiro akakura kupinda muviri wako kanobhururuka kachiita sekari kutorwa nemhepo.
berere 	KKD 	5 	z 		berere KKD z 5 . berevere 5 .
berevere 	DKKD 	5 	z 		berevere DKKD z 5 . buka 5 .
berevere 	K- 	5 	z 		berevere K- z 5 . Uku ndokunorembera denga reimba richisvika kupfuurira kubva pamudhuri. Jo uyo akagara mumumvuri weberevere remba. berere 5 .
berevezhu 	KKDK 	5 	z 		berevezhu KKDK z 5 . Iri ibvudzi rinosara pamusoro kana wagerwa uchibviswa rimwe rekumativi omusoro. bumu 5 .
besa 	D- 	5 	z 		besa D- z 5 . Besa idzihwa jena rinobuda mumhuno.
besano 	D- 	5 	z 		besano D- z 5 . Besano kutadza kuwirirana kana kubvumirana.
besanwa 	DKD 	5 	z 		besanwa DKD z 5 . Besanwa imhomho yavanhu vanofamba vachienda kwakasiyana panguva imwe.
besu 	KD 	5 	z 		besu KD z 5 . Besu muswe wezvakaita seshiri, hove, rori kana ndege.
beta 	D- 	5 	z 		beta D- z 5 . dova 5 .
beto 	D- 	5 	z 		beto D- z 5 . mutero 3 .
