mabadu 	D 	6 	z 		mabadu D z 6 . Mabadu chiitikwa chinofadza, chakanaka. Kumutambo kwaFadzi kwakanga kuri kumabadu. madambu 6, makuwerere 6 .
mabande 	D- 	6 	z 		mabande mabandi D- z 6 . Mabande chibage chakapamurwa-pamurwa muchigayo kana muduri. mabandurwa 6 .
mabandu 	DDK 	6 	z 		mabandu mabandi DDK z 6 . mabande 6 .
mabandurwa 	DDKD 	6 	z 		mabandurwa DDKD z 6 . Ichi chibage kana zvimwe zvirimwa zvakatswiwa kana kugaiwa zvisina kutsetseka. mbadzwa 10 .
mabatiro 	DKKK 	6 	z 		mabatiro DKKK z 6 . Aya mashandiro kana maitiro anoita munhu zvinhu.
mabayo 	D- 	6 	z 		mabayo D- z 6 . Mabayo kurwadza kunoita muviri, kunyanya pachipfuva kana kumativi, uchinzwa kunge uri kudyungwa-dyungwa. Muroora akabayiwa namabayo haakwanisi kutakura mugomo wemvura. chibayo 7 .
maberekerwo 	DDKKK 	6 	z 		maberekerwo DDKKK z 6 . Iyi inzira inozvarwa nayo vanhu, zvipuka kana michero. mazvarirwo 6 . Iyi itsika kana maitiro emunhu.
mabhindauko 	D- 	6 	z 		mabhindauko D- z 6 . Kuita mabhindauko kugona kushandisa pfungwa mukuita zvinhu zvinovaka kana kuponesa mhuri. mhindu 10 . Idzi injere kana unyanzvi hokukwanisa kuita zvinhu zvinoita kuti munhu akwanise kubuda panenge pakashata. Akashandisa mabhindauko ake kuti apunyuke vavengi. mhindumupindu 10 .
mabhuyo 	D- 	6 	z 		mabhuyo mabhuya D- z 6 . Mabhuyo inyaya dzinenge dzichitauriranwa pakati pevanhu.
mabikiro 	DDKK 	6 	z 		mabikiro DDKK z 6 . Iyi inzira yokuibvisa nayo chibikwa nemoto.
mabiko 	D- 	6 	z 		mabiko D- z 6 . mutambo 3 .
mabikwa 	DDK 	6 	z 		mabikwa DDK z 6 . Mabikwa kurwadza kunozonzwika kwapera nguva munhu akuvara.
mabori 	DDK 	6 	z 		mabori DDK z 6 . Mabori itsvina inobuda mumaziso semisodzi kana munhu akavata. mangava 6, maranga 6, mapwapwatire 6 .
mabucha 	D- 	6 	z 		mabucha D- z 6 . Mabucha kusangana kwevanhu vaviri kwekubonderana. Mabucha mamiriro ezvinhu asingakwanisiki kushandurwa.
mabudazuva 	DKDKK 	6 	z 		mabudazuva DKDKK z 6 . Iri idivi rinobuda naro zuva mangwanani. mabvazuva 6, mabvirazuva 6 .
mabukira 	DDKK 	6 	z 		mabukira DDKK z 6 . nhungirwa 10 .
maburo 	D- 	6 	z 		maburo D- z 6 . Maburo chinwiwa chinobikwa nemvura nemumera zvakafashaidzwa. masvusvu 6 .
mabvakure 	D- 	6 	z 		mabvakure D- z 6 . Ava vanhu vanobva kune dzimwe nzvimbo kana nyika dziri kunze kweyenyu.
mabvazuva 	DDKK 	6 	z 		mabvazuva DDKK z 6 . mabudazuva 6 .
mabvirazuva 	DDDKK 	6 	z 		mabvirazuva DDDKK z 6 . mabudazuva 6 .
mabviriro 	DDKK 	6 	z 		mabviriro DDKK z 6 . Aya matangiro anoita zvinhu. Mabviriro ekuba ruchiva. mviromviro 10 . Aya maitiro anoita munhu kana achibva pane vanhu. Mabviriro aakaita pabhawa aiva ekunzvenga, nekuti aisada kutenga hwahwa. bviro 5, mabviro 6 .
mabviro 	DDK 	6 	z 		mabviro DDK z 6 . mabviriro 6 .
mabvumamhosva 	DDDKD 	6 	z 		mabvumamhosva DDDKD z 6 . Uyu mubhadharo unobviswa neanenge apara mhaka, sechiratidzo chekuti atenda kana kubvuma kuti akanganisa. mabvumamuranda 6 .
mabvumamurandu 	DDDDKK 	6 	z 		mabvumamurandu DDDDKK z 6 . mabvumamhosva 6 .
mabvumira 	D- 	6 	z 		mabvumira D- z 6 . Uku kuimba kunoita vashauri nevanenge vachivadavira kana kubvumira mazwi avo achipindurana.
mabvumirahuura 	D- 	6 	z 		mabvumirahuura D- z 6 . Uku kukoneswa kana kutenda kana kuzongowirirana nezvinhu zvawanga usingadi, pasisina maitiro.
mabvumwa 	DDK 	6 	z 		mabvumwa DDK z 6 . Kana munhu ane mabvumwa anenge achinzi ane ruoko rwakanaka rwekukurisa zvinhu zvakaita semaruva kana manhanga.
mabvuururo 	D- 	6 	z 		mabvuururo D- z 6 . Uku kusakura zvakare kechipiri kana kechitatu, munda wakambosakurwa kare. mabvuo 6 .
mabweretete 	D- 	6 	z 		mabweretete mabweredhedhe D- z 6 . Iyi itsvina yemunhu kana mhuka nhetenhete, seiya inoitwa nemunhu ane mudumbu. manyoka 6 .
machachacha 	D- 	6 	z 		machachacha D- z 6 . Iyi imvura yakawanda, inonaya kwenguva refu isingamire. bvopfopfo 5 .
machachacha 	DDKD 	6 	z 		machachacha DDKD z 6 . Iyi inyama yemombe yakakora, yakabikwa yakawanda.
machafa 	D- 	6 	z 		machafa machapfa D- z 6 . Machafa inyama ine mafuta akawanda chaizvo, yakabikwa zvakanaka chose.
machakachaka 	D- 	6 	z 		machakachaka D- z 6 . Uku kudya kwakawanda kwakanaka chaizvo. machikichori 6 .
machakata 	D- 	6 	z 		machakata D- z 6 . Iyi miti mihombe yemichakata yakawanda.
machakwi 	DDK 	6 	z 		machakwi machahwi, majahwi DDK z 6 . Machakwi inzvimbo inowanikwa mubani kana muguvi inenge ine mvura.
machanja 	D- 	6 	z 		machanja D- z 6 . Machanja matanda marefu anoshandiswa kuti munhu akwanise kukwira mudenga kana achipfirira imba. danhiko 5 . Machanja mazino emhembwe.
machemashiri 	DKKKD 	6 	z 		machemashiri DKKKD z 6 . Machemashiri inguva inorira shiri mambakwedza.
machikichori 	DKKDK 	6 	z 		machikichori DKKDK z 6 . Izvi ndezvekudya zvinonaka zvikuru, uye zvinenge zvakawanda. machapfa 6 .
machikinywa 	DDKD 	6 	z 		machikinywa madzakinywa DDKD z 6 . madzakinywa 6 .
machirichiti 	D- 	6 	z 		machirichiti D- z 6 . Uku kujatwa kwevanhu mumota inenge ichikwira mukwidza nekudzika kumateru. mabhambo 6 .
machiti 	D- 	6 	z 		machiti D- z 6 . masungiro 6 .
machivachiva 	DKKDK 	6 	z 		machivachiva DKKDK z 6 . Aya maitiro emunhu anokara chaizvo, anongoda zvese zvese. Uku kuita kwemunhu asingagoni kusarudza zvaanoda kuita. rutsikatsika 11 .
machururu 	DKKK 	6 	z 		machururu DKKK z 6 . Uku kuvapo kwezvinhu zvakaita semvura zvakawanda chaizvo. jakachaka 5 .
madambu 	DKD 	6 	z 		madambu DKD z 6 . Kana zvichinzi nhasi ku madambu zvinenge zvichireva kuti musi iwoyo hakuna chakanaka, vanhu vachanakidzwa zvekuti huya hande. makwishu 6 .
madango 	D- 	6 	z 		madango D- z 6 . Madango ndezvinoitwa kuvanziridza kukanganisa kwemunhu kana zvaanenge achifunga.
madanha 	DKK 	6 	z 		madanha DKK z 6 . Madanha kunzwa kuda chimwe chinhu zvakanyanya. Madanha emugudza madetembo anodetembererwa varume nevakadzi vavo pauriri.
madarikanhumbi 	DKKKDK 	6 	z 		madarikanhumbi DKKKDK z 6 . Uku kurara kunoita mukomana nemusikana vadanana asi vasati varoorana, mukomana achiita nharo dzekuti kurara tese ndicho chiratidzo chokuti unondida.
