chaamai 	KDKD 	7 	z 		chaamai KDKD z 7 . Iri izwi rinoshandiswa kutaura kuti amai vomumwe vakaita, kana kuti vakaitirwa, zvinonyadzisa.
chabata 	KDD 	7 	z 		chabata KDD z 7 . Chabata mutemo wepamutambo wetsoro unoreva kuti kana munhu akangogunzva tsoro anofanirwa kutoitamba.
chabe 	KD 	7 	z 		chabe KD z 7 . Chabe chinhu chisisina basa rachingashandiswa muupenyu.
chabuta 	D- 	7 	z 		chabuta D- z 7 . Chabuta mutambo wokufembera kuti mari yakandwa mudenga ichadonha nedivi ripi, anenge agona kufembera achipihwa mari.
chadhenda 	DKD 	7 	z 		chadhenda DKD z 7 . Chadhenda ndechinomera pasi panguva yokunaya kwemvura, chakaita dendenedzwa, chinodyiwa.
chadima 	DKD 	7 	z 		chadima DKD z 7 . Chadima kusviba kwekunze kwakanyanya. Kana kunze kune chadima kufamba kunonetsa zvikuru. zarima 5 .
chadzera 	DKD 	7 	z 		chadzera DKD z 7 . Chadzera mirazvu yechiedza inooneka iri kure. Chadzera kuvaima kunounzwa nemoto panguva yeusiku kana nezuva panguva yemasikati. Kana tsuro ikaona chadzera mberi kwayo haibudi mumugwagwa. chiedza 7 .
chaenga 	DKD 	7 	z 		chaenga chainga DKD z 7 . Chaenga ibande rehari yakaputsika rinoshandiswa kukangira zvinhu. rwenga 11, rwanga 11 .
chagandanga 	DDKD 	7 	z 		chagandanga DDKD z 7 . Urwu ruzha rwakanyanya runoitwa navanhu vakawanda. chahanya 7 .
chaguduma 	DKKD 	7 	z 		chaguduma DKKD z 7 . Iri ibundo rinomera zvikuru pakaorera, rinobereka vana vane minzwa miviri vanobaya kana vaoma. chidhongi 7 .
chagwanda 	KDD 	7 	z 		chagwanda KDD z 7 . Chagwanda muriwo wemashizha emuboora akaomeswa asina kubikwa. mumhare 3 .
chagwindi 	D- 	7 	z 		chagwindi D- z 7 . gwindi 5 .
chahanya 	DDK 	7 	z 		chahanya DDK z 7 . chagandanga .
chahomwe 	KDD 	7 	z 		chahomwe KDD z 7 . Chahomwe idumbu rechina remhuka rainoti kana yadya bundo yozozeya kana yazorora.
chahuda 	KDD 	7 	z 		chahuda KDD z 7 . Chahuda chinhu chakaipa chinoitika, chinenge chakonzerwa nomunhu akaita achiziva. Kuuraya mwana kwakaita mukadzi uya chaiva chahuda, sakei akatongerwa rufu.
chahudu 	DKD 	7 	z 		chahudu DKD z 7 . Chahudu mafufu akaumbana anowanzowanikwa muduri pakutswa mhunga. hudu 9 .
chahuvhe 	DKD 	7 	z 		chahuvhe DKD z 7 . chakuvhe 7 .
chahwa 	D- 	7 	z 		chahwa D- z 7 . Chahwa mukati meruoko matinoshandisa pakubata zvinhu kana kusvinyanga zvokudya. chanza 7, chahwo 7 .
chahwihwi 	D- 	7 	z 		chahwihwi D- z 7 . Chahwihwi kuvhiringika kwepfungwa dzemunhu kwenguva duku kunokonzera kuti aone zvinhu zvakapidiguka. Ndakaita chahwihwi ndavharwa mbama kumeso ndisingaoni.
chahwo 	D- 	7 	z 		chahwo D- z 7 . chahwa 7 .
chai 	DK 	7 	z 		chai DK z 7 . Chai chinoshandiswa pakurunga muriwo uye kuomesa nyama. munyu 3, sauti 9 .
chainga 	DKD 	7 	z 		chainga DKD z 7 . Chainga chimedu chehari yakapunzika chinoshandiswa kukangira zvinhu. chaenga 7, rwenga 11 .
chaira 	K- 	7 	z 		chaira K- z 7 . Chaira kuva netsika yokutevedzera zvinenge zvaitwa nevamwe.
chakamwe 	DKK 	7 	z 		chakamwe DKK z 7 . Chakamwe chinhu chinoitwa kamwe chichibva chapera. chinyakamwe 7 .
chakapedzambudzi 	DKKDKK 	7 	z 		chakapedzambudzi DKKDKK z 7 . Uku kurara makachinjika parukukwe kana gumbezi kuti mukwanise kurara makawanda. Ichi chinhu chakaipa chinoitwa nemunhu mumwe asi chozotambudza vakawanda. Ukapara ngozi yomubvakure mhuri inoparadzwa nechakapedzambudzi.
chakapotsa 	DKDK 	7 	z 		chakapotsa DKDK z 7 . Ichi chinhu chokutanga kuverengwa kubva mune zvakawanda. chokutanga 7 .
chakauya 	DKDD 	7 	z 		chakauya DKDD z 7 . Izvi ndezvinenge zviri kuitika muvanhu mazuva iwayo.
chakuvhe 	DKD 	7 	z 		chakuvhe DKD z 7 . Chakuvhe rukoko runomera pachikafu kana chava kuora.
chakuvhuvhu 	D- 	7 	z 		chakuvhuvhu D- z 7 . chahuvhe 7 .
