kabayo 	D- 	12 	z 		kabayo D- z 12 . mabayo .
kabhokisi 	DKDD 	12 	z 		kabhokisi DKDD z 12 . bhokisi 5 . chibhokisi 7 .
kabisira 	D- 	12 	z 		kabisira D- z 12 . Kabisira idoro rinobikirwa vanhu vashoma kuti vanwe vachifara, risingatengeswi. Kana muchiita zvinhu kabisira munenge musingadi kuti voruzhinji vazvione kana kuzviziva, uye kazhinji zvinenge zvisina kururama.
kaboko 	DKD 	12 	z 		kaboko DKD z 12 . Kaboko rudzi rwenzungu inoita mafuta akawanda.
kabudura 	D- 	12 	z 		kabudura D- z 12 . Kabudura rudzi rwebhurugwa rine makumbo mapfupi asingapfuuri mabvi.
kachasu 	DKD 	12 	z 		kachasu DKD z 12 . Kachasu idoro rinobikwa nesadza, mbiriso neshuga uye rinotora nguva diki kuti rivire. tototo 9 .
kachemberebande 	DDDDDK 	12 	z 		kachemberebande DDDDDK z 12 . mbuyamuderere 9 . Uyu munhukadzi akwegura wemanyeponyepo, anonzi anojajadura nemazino ake marefu, uye anongotaurwa nezvake kuitira kutyisidzira vana vadiki vanenge vachinetsa. mukwegurubande 1 .
kachikasi 	DDKD 	12 	z 		kachikasi DDKD z 12 . Uhu hwahwa hushoma hunongobikirwa murume nomukadzi wake. chikasi 7, mahwidi 6 .
kadani 	DKD 	12 	z 		kadani DKD z 12 . Kadani chuma chinosungirirwa muhuro semucheno.
kadeketye 	DKKK 	12 	z 		kadeketye DKKK z 12 . Kadeketye munhu anotaurisa, kazhinji mukadzi. chirosho 7 .
kadendemafuta 	DKKDKK 	12 	z 		kadendemafuta DKKDKK z 12 . Iri isvosve guru rinobhururuka, rinobuda panotanga kunaya mvura, uye rinodyiwa. tsambaramafuta 9 .
kadhakwa 	DDK 	12 	z 		kadhakwa DDK z 12 . Tudhakwa tumbuyu tunonyin'inyira turi pamusoro pedoro riri muhari kana mugate.
kadhiidhii 	DKDKD 	12 	z 		kadhiidhii DKDKD z 12 . chidhiidhii 7 .
kadimbu 	DKD 	12 	z 		kadimbu DKD z 12 . chidimbu 7 .
kadodo 	D- 	12 	z 		kadodo D- z 12 . Kadodo kapoto kokubikira muriwo. chikadyana 7, hadyana 9 .
kadonzvo 	DKD 	12 	z 		kadonzvo DKD z 12 . Kadonzvo kako mudikani wako wepamwoyo, kudai ari mukomana kana musikana. mudiwa 1, dhiya 1a .
kadori 	DKD 	12 	z 		kadori DKD z 12 . chimvari 7 .
kadzimu 	DKK 	12 	z 		kadzimu DKK z 12 . Kadzimu mweya womufi unoramba kunyaradzwa kana kuripirwa.
kadzoran'ombe 	D- 	12 	z 		kadzoran'ombe D- z 12 . Iyi ishiri chena inodya tupuka tunowanikwa paganda remombe. kafudzamombe 12 .
kaferefere 	D- 	12 	z 		kaferefere D- z 12 . Ichi chipfeko kana kuti jira rakareruka, zvokuti chero nguva yemadziya munhu unonzwa kufefeterwa.
kafiramberi 	DKKDK 	12 	z 		kafiramberi DKKDK z 12 . Kuitwa kafiramberi kukuvadzwa kana kurohwa kwakanyanya kunoisa upenyu hwomunhu munjodzi, asi izvi hazvikurumidzi kuonekwa. Murume akarova mukadzi wake zvokutomuita kafiramberi chaiko.
kafirifiti 	DKKKK 	12 	z 		kafirifiti DKKKK z 12 . firifiti 9 .
kai 	DK 	12 	z 		kai DK z 12 . Kai izwi rinoshandiswa kuratidza kushomeka kana kudupuka kwezvinhu zviri kutaurwa, zvikuru sei kana zvinhu zvacho pasisina. Gore rakapera kwakatsva zvokuti hatina kumbokohwa kana kai zvako.
kajongwe 	DDK 	12 	z 		kajongwe DDK z 12 . Kajongwe rudzi rwechimerwa chomusango, chinobumba pasi uye chinoita maruva anotaridzika semusoro wejongwe.
kakirikiri 	D- 	12 	z 		kakirikiri D- z 12 . karikiriki 12 .
kakukukaendera 	DKKKKDD 	12 	z 		kakukukaendera DKKKKDD z 12 . Iyi imhuka inotevera munhu wose wose. chiteveravashuzhi 7, nzenza 9 . Iyi inzira yokuba zvipfuwo muchitanga mambosanganisa matanga emombe maviri, mozoketa dzenyu muchitora nemombe yavamwe imwe chete panguva imwe chete.
kakumbiramari 	DKKKDK 	12 	z 		kakumbiramari DKKKDK z 12 . Tukumbiramari tuvhudzi twushoma twunosiyiwa mumusoro womunhu, mushure nokunge agera rimwe vhudzi rose.
kakuruo 	D- 	12 	z 		kakuruo D- z 12 . chimwamgo 7 .
kakwembe 	DDK 	12 	z 		kakwembe DDK z 12 . Kakwembe munhuwi wakaipa unobva pamuviri womunhu.
kamandigezerei 	DDKDDDK 	12 	z 		kamandigezerei DDKDDDK z 12 . kasiyanwa 12 . Uyu mucheka usina kunyatsonaka uye wakachipa.
kamberembere 	D- 	12 	z 		kamberembere D- z 12 . Iri ibato rinovambirwa nokufambisirwa muchivande.
kambiya 	DDK 	12 	z 		kambiya DDK z 12 . Aka kandiro kadiki kanopakurirwa muriwo. Kambiya chimedu chehari chinokangirwa maputi. chikango 7, rwainga 11 .
kambuyu 	DDK 	12 	z 		kambuyu DDK z 12 . Tumbuyu tupuka twakadupuka zvakanyanyisisa, uye tunobhururuka twuchingoonekwa kuita zvokunyin'inyira kana twakawanda. Tumbuyu utwu tunonzi tudhakwa nokuti tunomomotera hari dzinenge dzine hwahwa.
kamufarara 	D- 	12 	z 		kamufarara D- z 12 . Kana zvinhu zvichinzi zvakaita kamufarara zvinenge zviri zvidikidiki, zvakawandisisa, uye zvapakararira panzvimbo huru.
kamuferefere 	D- 	12 	z 		kamuferefere D- z 12 . Aka kamhepo kanofefeta zvishoma. Iyi ihembe yakasonwa nomucheka mutete. Uyu mucheka mutete wokusonesa hembe. kaferefere 12 .
kamukore 	DDKD 	12 	z 		kamukore DDKD z 12 . Kuita kamukore kupinganidza gumbo rako pane remumwe wauri kurwa naye, kuitira kuti iwe usadonha.
kamukowoko 	DDKKD 	12 	z 		kamukowoko DDKKD z 12 . Kamukowoko kadimbu kadikidiki kenguva. chinguva 7, chinguvana 7 .
kamutsa 	D- 	12 	z 		kamutsa D- z 12 . kamutsanedako 12 .
kamutsanedako 	DDDKDD 	12 	z 		kamutsanedako DDDKDD z 12 . Aka kasadza kana kumwewo kudya kunobikirwa murume nomudzimai wake mangwanani-gwanani, zvikuru kana amuka aine bhabharasi ranezuro wacho. kamutsa 12, chimutsanedako 7, chimutsa 7, chimukaupfuregonzo 7 .
kan'oto 	D- 	12 	z 		kan'oto kanyn'oto D- z 12 . kanyoto 12 .
kanana 	DKK 	12 	z 		kanana DKK z 12 . Kanana kanhu kadikidiki kana kuti katsika kanoipisa kana kushoresa munhu kana kuti chinhu. Muroora wavo munhu akarurama, asina kana kanana zvako. kanongo 12 .
kanongo 	DKK 	12 	z 		kanongo DKK z 12 . Kanongo kanhu kadiki kari pamunhu kanomuipisa. Akaroora mukadzi mudodo, asina kana nekanongo zvako.
kanyama kanyama 	D- 	12 	z 		kanyama kanyama D- z 12 . Kana mhuka kana munhu ukaitwa kanyama kanyama unenge warwiswa nevavengi vazhinji, vakasiya vakubvambura-bvambura. Mhuka yakaitwa kanyama kanyama nembwa dzaKapito.
kanyimambwa 	DKDK 	12 	z 		kanyimambwa DKDK z 12 . runyimambwa 11 .
kanyimiramundiro 	DKKKDKK 	12 	z 		kanyimiramundiro DKKKDKK z 12 . Iyi itsika yokuomera nezvokudya, kana kuti kusada kupa vamwe zvokudya.
kanyn'oto 	D- 	12 	z 		kanyn'oto kan'oto D- z 12 . kanyoto 12 .
kanyoto 	D 	12 	z 		kanyoto kan'oto D z 12 . Kubata munhu kanyoto kumuisa musoro pakati poruoko rwakafonyorwa nepagokora, wakamumbandika zvokuti haapudzvunyuri. Patakanga tichiita mutsimba, ndakamubata kanyoto, mwana akati apfidza. kanyn'oto 12 .
kanyungwe 	DKD 	12 	z 		kanyungwe DKD z 12 . Kanyungwe rudzi rwekakwenzi kanobereka mhiripiri inovava chaizvo. mutoronga 3 .
kanyururahove 	DKKDKK 	12 	z 		kanyururahove DKKDKK z 12 . Urwu rumwe rudzi rweshiri inonyika muromo wayo mumvura, ichibata hove ichidya.
kanzatu 	DKD 	12 	z 		kanzatu DKD z 12 . Kuita kanzatu kuunganidza mari kana zvimwewo zvinhu panhu pamwe, vanhu vachibetserana. Kana vanhu muchiwirirana, hazvinetsi kuita kanzatu kanzatu mukamisa chinhu chamunenge muchida.
kapfarivari 	DKDKD 	12 	z 		kapfarivari DKDKD z 12 . chimvari 7 .
kapira 	DKD 	12 	z 		kapira DKD z 12 . Kapira irabha rinoshandiswa kudzima zvakanyorwa.
kapuka 	DDK 	12 	z 		kapuka DDK z 12 . Kapuka chisikwa chese chinofema, chine muviri mudikidiki, chinofamba nemakumbo kana kuti chinobhururuka.
kapundu 	DKK 	12 	z 		kapundu DKK z 12 . Kapundu kanhu kakazvimba, kanoita paganda romuviri, kanowanzovavira kana kakwenywa. Ndikwenyei kapundu kari kumusana.
kapupu 	D- 	12 	z 		kapupu D- z 12 . Aka kahuku kadiki kachiri kukura. mhupu 9, mhupumira 9 .
karikiriki 	DKDKD 	12 	z 		karikiriki DKDKD z 12 . Karikiriki mushando unoitwa navanhu vakawanda vachikurumidza. Kana mvura yaturuka, vanhu vanenge voita karikiriki kurima nokukavira mbeu. kakirikiri 12 .
karingazuva 	DKDKK 	12 	z 		karingazuva karingazuwa DKDKK z 12 . Urwu rumuti runodzimikwa muvhu muzuva, runoshandiswa kududzira nguva nebvute rawo. Kana kuine makore karingazuva korumuti hakasevenzi. wachi 9 . Uyu munhu anogara akaziva nokuchenjerera nguva paanoita zvinhu zvake.
kariri 	DKD 	12 	z 		kariri DKD z 12 . Kariri usavi hunobikwa nembatata dzinoitwa zvokupwanywa kana dzaibva, kuita sebota gobvu.
karombo 	DDK 	12 	z 		karombo DDK z 12 . kapuka 13 .
karukuni 	DDKK 	12 	z 		karukuni DDKK z 12 . Urwu rudzi rwekanyoka kadiki kapfumbu, kanomonera pamuti kana kuti pahuni, zvokuti hakatombooneki.
kasawaya 	D 	12 	z 		kasawaya D z 12 . Kasawaya imhando yenzungu diki, dzine rukanda ruchena, uye dzinokurumidza kukura kuzosvika pakudzikohwa.
kasekera 	DDDK 	12 	z 		kasekera DDDK z 12 . Kasekera imhando yemuti mupfupi une minzwa mumhanda mawo, une kunze kuchena nomukati mutema, uye wakaoma chaizvo kuutema. mupangara 3 .
kasemo 	D- 	12 	z 		kasemo chisemo D- z 12 . chisemo 7 .
kaserima 	DKKD 	12 	z 		kaserima DKKD z 12 . Aka kapadza kapera kanowanzoshandiswa kufuka nyimo. Kaserima hakapedzi ndima. chikumo 7 .
kasesepende 	DKKDK 	12 	z 		kasesepende DKKDK z 12 . Aka kasipo katetetete kanenge kapera nokushandiswa, zvokuti chinenge changosara kutoguka.
kaseveramudama 	DDDDDKK 	12 	z 		kaseveramudama DDDDDKK z 12 . Uyu musuva wesadza unenge uine nhindi yenyama pakati, unoboverwa vamwe vasingaoni kuti mune nyama. Nyama yaparuzhinji inopera nokuitwa kaseveramudama.
kashiye 	DKD 	12 	z 		kashiye DKD z 12 . rushiye 11 .
kasiisii 	DKDKD 	12 	z 		kasiisii DKDKD z 12 . Aka kashiri kadiki kane tumakumbo tutsvuku, manhenga ebhuruu nomuromo mudikidiki mutsvuku, kanonyanyoda kugara mune makwenzi ane minzwa kana miti ine minzwa sezvitataunga. chidhiidhii 7 .
kasipiti 	DKKK 	12 	z 		kasipiti DKKK z 12 . chisipiti 7 .
katakwara 	D- 	12 	z 		katakwara D- z 12 . karavheta 9 .
kateketeke 	D- 	12 	z 		kateketeke D- z 12 . Kuita kateketeke kufambisa miromo asi iwe usingatauri, sezvingaita munhu achiverenga. zevezeve 5 .
kateredemu 	DKDKD 	12 	z 		kateredemu DKDKD z 12 . Urwu rudzi rweshiri inobata tupuka twainodya ichibhururuka, inonyanyowanikwa padyo nenzizi.
katewetewe 	D- 	12 	z 		katewetewe D- z 12 . Aka kashiri kane tsvaratsvata refu nenzwara refu, zvinova zvinokabatsira kuti kakwanise kumhanya nepamusoro pamaruva omumvura, uye kanodya mhodzi notupuka twomumvura.
