kudya 	DK 	15 	z 		kudya DK z 15 . Kudya chinhu chese chinoiswa mudumbu, chinovaka muviri, chichipa upenyu nokupedza nzara. zvokudya 8, chikafu 7 .
padhuze 	DKD 	16 	z 		padhuze DKD z 16 . Padhuze inzvimbo isiri kure. Chikoro chedu chiri padhuze nepamba, saka kufamba hakutinetsi. padyo 16 . ANTONYMS kure 17.
padyo 	D- 	16 	z 		padyo D- z 16 . padhuze 16 .
pakati 	DDK 	16 	z 		pakati DDK z 16 . Kana chinhu chiri pakati panenge pane mitunhu yakaenzana kubva pachiri kuenda kumapeto. Pakati inzvimbo iri mukati mezvinhu kana kuti yakatenderedzwa nechimwe chinhu.
pamberi 	DDK 	16 	z 		pamberi DDK z 16 . Pamberi inzvimbo inowanikwa tapfuura imwe inenge ichitaurwa nezvayo. Pamberi pomunhu idivi riri kwaakatarisa.
pamhene 	DKK 	16 	z 		pamhene DKK z 16 . Pamhene panzvimbo isina zvinhu zvakawanda zvakaita semiti kana zvivakwa, zvokuti kana pane chinoitikapo, vanhu vanonyatsochiona pasina kuvharidzirwa.
pamusana 	DDKK 	16 	z 		pamusana DDKK z 16 . Iyi inhengo yemunhu kana mhuka, inobvira pamapendekete kusvika kumagaro. Mwana akanga ava kunetsa akabva aiswa pamusana naamai wake.
pamusoro 	DDKK 	16 	z 		pamusoro DDKK z 16 . Pamusoro inzvimbo inenge iri pakati kwirirei kupinda pamwe. pamusoroi .
pamuviri 	D- 	16 	z 		pamuviri D- z 16 . Munhukadzi anonzi ava na pamuviri kana ane mwana mudumbu asi asati azvarwa. mimba 9 .
panhu 	D- 	16 	z 		panhu D- z 16 . Panhu inzvimbo inenge ichitaurwa nezvayo. Ngatigarei panhu pamwe, kuti chikafu chisanetsa kugovera.
panyn'o 	D- 	16 	z 		panyn'o D- z 16 . Panyn'o inhengo yemunhu kana mhuka inobuda netsvina. mhata 9, panyo 16, horo 9 .
panyo 	D- 	16 	z 		panyo D- z 16 . panyn'o 16 .
panze 	K- 	16 	z 		panze pazhe K- z 16 it . Kana chinhu chisiri mukati mechimwewo chinhu chinonzi chiri panze .
pasichigare 	DKKDK 	16 	z 		pasichigare DKKDK z 16 . Iyi inguva yekarekare chaizvo.
patyo 	D- 	16 	z 		patyo D- z 16 . padyo 16 .
pauzima 	D- 	16 	z 		pauzima D- z 16 . Kana munhu achiti akaita chinhu pauzima , anenge akachiita iye pachake. mbune .
pazhe 	DK 	16 	z 		pazhe DK z 16 . panze 16 .
pedyo 	D- 	16 	z 		pedyo D- z 16 . Kana chinhu chiri pedyo chinenge chisiri kure.
kubanzi 	DKK 	17 	z 		kubanzi kubhanze DKK z 17 . kunze 17 .
kumazauone 	DDKDDD 	17 	z 		kumazauone DDKDDD z 17 . Kana munhu achiti kunhu kwaiva kumazauone , anenge achireva kuti zviitiko zvaiveko zvaive zvichifamba zvichinakidza. Pakauya bhendi rekuZaire kuRufaro, kwaiva kumazauone vanhu vachitamba kwasa kwasa.
