ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
badara badara 	D- 		ny 		badara badara D- ny . Kana munhu achiti badara badara anenge achizvipunzira pasi neshungu, kunyanya anenge afirwa.
bebenu 	D- 		ny 		bebenu D- ny . bhebhenu .
benemene 	K- 		ny 		benemene K- ny . Kuti benemene kuchena kwedenga risina kana kakore.
bengenu 	D- 		ny 		bengenu D- ny . pengenu .
bepetu 	D- 		ny 		bepetu D- ny . Kana munhu ati bepetu anenge anwa chinwiwa nekuchipedza asina kana kumbozorora.
bepu 	DK 		ny 		bepu DK ny . Kana munhu akati bepu anenge avhurumuka kubva mukufenda, kurara kana zvimwewo.
berebedu 	KKKD 		ny 		berebedu KKKD ny . Kuti berebedu kuruma-ruma chinhu uchisiyirira zvimwe kana kusiya chava nemaburi maburi.
besvu 	K- 		ny 		besvu K- ny . Besvu magariro anoita munhu, akataranganisa makumbo ake zvakanyanya zvinoonesa zviri mukati.
betete 	D- 		ny 		betete D- ny . Kuti betete kugara zvakanaka wakazorora zvizere, sekuzorora uko tinoita takagara pasofa.
beza 	D- 		ny 		beza D- ny . Kuti beza kugara munhu akangonyarara.
bha 	K 		ny 		bha K ny . Kuti bha kurira kunoita chinhu charohwa zvakasimba.
bhabhangu 	DDK 		ny 		bhabhangu DDK ny . Kuti bhabhangu kudhidha uchirova mvura nemakumbo zvine simba nemakumbo.
bhadhu 	KD 		ny 		bhadhu KD ny . Kana wanzi bhadhu unenge warohwa nembama kumeso kana mumusoro.
bhambangu 	DDK 		ny 		bhambangu DDK ny . Kuti bhambangu kurira kwengoma yakakura.
bhangu 	DK 		ny 		bhangu DK ny . Kuti bhangu kubhuguja munhu achirova mvura zvine ruzha.
bhebhenu 	D- 		ny 		bhebhenu D- ny . Kuti bhebhenu kuvhura chinhu chakavharwa. bhedhenu .
bhedhenu 	D- 		ny 		bhedhenu D- ny . Kuti bhedhenu kupetenuka kwechinhu changa chakavharwa.
bhenemene 	K- 		ny 		bhenemene K- ny . ngwerewere .
bherere 	D- 		ny 		bherere D- ny . Kuti bherere kuchema kwemakwai.
bheshe 	D- 		ny 		bheshe D- ny . Kuti bheshe ruzha runoitwa nemunhu ari kufamba mujecha. zhwau .
bheu 	DK 		ny 		bheu DK ny . Kuti bheu kupidiguka kwechinhu.
bhi 	D 		ny 		bhi D ny . Kana chinhu chati bhi chinenge chadonhera pasi zvine mutsindo.
bhi bhi 	D- 		ny 		bhi bhi D- ny . Kuti bhi bhi kufamba zvine mutsindo.
bhibhiri 	D- 		ny 		bhibhiri D- ny . Kuti bhibhiri kutsika-tsika pasi kwemunhu ari kurwisana nemumwe. biribidi .
bhidhiri bhidhiri 	D- 		ny 		bhidhiri bhidhiri D- ny . Kuti bhidhiri bhidhiri kukunguruka kwechinhu chinorema uye chinorira zvine ruzha. Dhiramu rakati bhidhiri bhidhiri pasi apo raikungurutswa nevana.
bhimhu 	KD 		ny 		bhimhu KD ny . Kuti bhimhu kurova kumusana nechibhakera.
bho-o 	D- 		ny 		bho-o D- ny . Kuti bho-o kudzvova. Kana mombe ichiti bho-o inenge ichiita ruzha ichikuma. Mhou yakati bho-o ichichemera mhuru yayo yaive yarasika.
bhoko bhoko 	DK+ 		ny 		bhoko bhoko DK+ ny . Kuti bhoko bhoko kufamba zvishoma.
bhu 	D 		ny 		bhu D ny . Kuti bhu kudhuuka kwechinhu.
bhu 	K- 		ny 		bhu K- ny . Kuti bhu kuburitsa mweya nemukanwa nekumashure zvinoita ruzha.
bhu bhu 	D- 		ny 		bhu bhu D- ny . Kuti bhu bhu kutsenga zvinhu zvakaoma zvakaita semaputi.
bhu bhu bhu 	K- 		ny 		bhu bhu bhu K- ny . Kuti bhu bhu bhu kuuchira maoko zvine rukudzo mukati.
bhu-u 	K- 		ny 		bhu-u K- ny . Kuti bhu-u kubudisa mweya nokumashure zvine ruzha. Ndianiko ati bhu-u anoda kutinhuhwidza tichidya? bhu .
bhudhiri 	D- 		ny 		bhudhiri D- ny . Kuti bhidhiri kukunguruka kwezvinhu zvinorema.
bhuguju 	D- 		ny 		bhuguju D- ny . Kuti bhuguju kurova mvura nemakumbo pakudhidha. bhabhangu .
