	tonehi	tonemid	tonelow	syll	cons	son	nas	lat	cont	strid	sg	cg	lab	cor	ant	dor	glot	hi	lo	round	back	atr
h	0	0	0	-	+	-	0	0	+	0	+	-	0	0	0	0	+	0	0	0	0	0
b	0	0	0	-	+	-	-	0	-	0	-	+	+	0	0	0	0	0	0	0	0	0
p	0	0	0	-	+	-	-	0	-	0	-	-	+	0	0	0	0	0	0	0	0	0
ph	0	0	0	-	+	-	-	0	-	0	+	-	+	0	0	0	0	0	0	0	0	0
d	0	0	0	-	+	-	-	-	-	0	-	+	0	0	+	0	0	0	0	0	0	0
t	0	0	0	-	+	-	-	-	-	-	-	-	0	+	+	0	0	0	0	0	0	0
th	0	0	0	-	+	-	-	-	-	-	+	+	0	+	+	0	0	0	0	0	0	0
k	0	0	0	-	+	-	-	0	-	0	-	-	0	0	0	+	0	0	0	0	0	0
kh	0	0	0	-	+	-	-	0	-	0	+	+	0	0	0	+	0	0	0	0	0	0
s	0	0	0	-	+	-	-	-	+	+	-	-	0	+	+	0	0	0	0	0	0	0
sh	0	0	0	-	+	-	-	-	+	+	+	+	0	+	+	0	0	0	0	0	0	0
x	0	0	0	-	+	-	-	0	+	0	-	-	0	0	0	+	0	0	0	0	0	0
f	0	0	0	-	+	-	-	0	+	0	-	-	+	0	0	0	0	0	0	0	0	0
ɬ	0	0	0	-	+	-	-	+	+	-	-	-	0	+	+	0	0	0	0	0	0	0
ɬh	0	0	0	-	+	-	-	+	+	-	+	+	0	+	+	0	0	0	0	0	0	0
ʃ	0	0	0	-	+	-	-	-	+	+	-	-	0	+	-	0	0	0	0	0	0	0
ʃh	0	0	0	-	+	-	-	-	+	+	+	+	0	+	-	0	0	0	0	0	0	0
m	0	+	0	+	+	+	+	0	-	0	0	0	+	0	0	0	0	0	0	0	0	0
mˊ	+	0	0	+	+	+	+	0	-	0	0	0	+	0	0	0	0	0	0	0	0	0
mˋ	0	0	+	+	+	+	+	0	-	0	0	0	+	0	0	0	0	0	0	0	0	0
n	0	+	0	+	+	+	+	-	-	0	0	0	0	+	+	0	0	0	0	0	0	0
nˊ	+	0	0	+	+	+	+	-	-	0	0	0	0	+	+	0	0	0	0	0	0	0
nˋ	0	0	+	+	+	+	+	-	-	0	0	0	0	+	+	0	0	0	0	0	0	0
ŋ	0	+	0	+	+	+	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0
ŋˊ	+	0	0	+	+	+	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0
ŋˋ	0	0	+	+	+	+	+	0	-	0	0	0	0	0	0	+	0	0	0	0	0	0
ɲ	0	+	0	+	+	+	+	-	-	0	0	0	0	+	-	0	0	0	0	0	0	0
ɲˊ	+	0	0	+	+	+	+	-	-	0	0	0	0	+	-	0	0	0	0	0	0	0
ɲˋ	0	0	+	+	+	+	+	-	-	0	0	0	0	+	-	0	0	0	0	0	0	0
r	0	+	0	+	+	+	-	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0
rˊ	+	0	0	+	+	+	-	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0
rˋ	0	0	+	+	+	+	-	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0
