ɸ ʃ aˊ	ʃ aˊ	burn
ɸ ʃ ɛˋ l aˋ	ʃ ɛˋ l aˋ	burn-perfective
s ɪˊ ɸ ʃ aˊ	s ɪˊ ʃ aˊ	modern ways of doing and behaving (matumo)
b aˋ ɸ ʃ aˊ	b aˋ ʃ aˊ	the youth
m a ɸ ʃ i	m a ʃ i	milk
ɸ ʃ ɛ x a ɸ ʃ ɛ x a	ʃ ɛ x a ʃ ɛ x a	impatient
ɸ ʃ ɪ l ɛ	ʃ ɪ l ɛ	has burnt
b ʊ ɸ ʃ e ŋ	b ʊ ʃ e ŋ	lately
b ʊ p ʃ a	b ʊ t ʃ a	to be moulded
ŋ a p ʃ a	ŋ a t ʃ a	to be scratched
mˋ p ʃ a	ɲ t ʃ a	dog
m p ʃh a p ʃh a	ɲ t ʃh a t ʃh a	a type of Setswana delicacy
mˋ p ʃh ɛˋ	ɲ t ʃh ɛˋ	sweet cane
mˋ p ʃh ɪˊ	ɲ t ʃh eˊ	ostrich
p ʃh a t a	t ʃh a t a	to crush
p ʃh ɛ x a	t ʃh ɛ x a	vulgar expression for to have diarrhea
mˋ p sh aˋ	nˋ t sh aˋ	new
p ʃh ɛ m ʊ x a	t ʃh ɛ m ʊ x a	slip loose
b ʒ aˊ l aˊ	d ʒ aˊ l aˊ	sow
r ɔ b ʒ a	r ɔ d ʒ a	be broken
a b ʒ a	a d ʒ a	be given away
b ʒ a	d ʒ a	to belch
